Probe ID	Training experiment 1	Training experiment 2	Training experiment 3	Training experiment 4	Training experiment 5	Training experiment 6	Training experiment 7	Training experiment 8	Training experiment 9	Training experiment 10	Training experiment 11	Training experiment 12	Training experiment 13	Training experiment 14	Training experiment 15	Training experiment 16	Training experiment 17	Training experiment 18	Training experiment 19	Training experiment 20	Training experiment 21	Training experiment 22	Training experiment 23	Training experiment 24	Training experiment 25	Training experiment 26	Training experiment 27	Training experiment 28	Training experiment 29	Training experiment 30	Training experiment 31	Training experiment 32	Training experiment 33
Probe 11	0.285305	-0.000293	0.442990	0.139550	0.114368	-0.645875	-0.474250	-3.607758	0.331404	0.153129	-0.191189	0.442990	0.442990	0.109655	0.442990	0.065389	0.442990	0.442990	-0.337329	0.442990	0.442990	0.241048	0.029224	0.442990	0.442990	0.410510	-0.200772	0.442990	-0.262924	0.123246	-0.134163	0.442990	-3.905544
Probe 12	0.573211	0.511304	0.050531	0.438797	0.573211	-0.054214	0.407155	-3.667688	0.573211	0.389775	-0.408177	0.573211	0.573211	0.456802	0.573211	0.154409	0.573211	0.573211	-0.758326	0.404971	0.573211	0.573211	0.148438	-4.081134	0.573211	-0.189017	0.573211	0.568911	-1.007629	0.545849	0.166516	0.573211	-3.629712
Probe 13	0.366750	0.366750	0.366750	0.366750	0.366750	0.288770	0.366750	-4.531017	0.366750	0.366750	-0.170811	0.366750	0.366750	0.366750	0.366750	0.162277	0.366750	0.366750	-0.776255	0.366750	0.366750	0.366750	-0.198609	-0.837597	0.366750	0.366750	0.366750	0.366750	-0.132455	0.366750	0.366750	0.366750	-5.216945
Probe 14	0.690688	0.941640	-1.216918	3.319473	-0.504439	-1.216918	-0.538717	-1.216918	0.358788	-0.719667	0.475892	-0.119834	0.134355	-0.037373	-0.002700	1.787087	0.890770	-0.176823	-1.216918	-0.486513	-0.635910	0.585183	2.579724	-0.284519	0.174273	-0.670756	0.196828	-0.405072	-1.216918	0.133612	-0.889891	-0.644719	0.882336
Probe 15	-0.419961	-0.419961	-0.419961	3.996296	-0.419961	-0.419961	-0.419961	-0.419961	-0.419961	-0.419961	-0.419961	-0.419961	-0.419961	-0.419961	-0.095266	2.461369	0.622683	-0.419961	-0.419961	-0.419961	-0.419961	-0.161304	3.707553	-0.419961	-0.419961	-0.419961	-0.419961	-0.419961	-0.419961	-0.419961	-0.419961	-0.419961	-0.419961
Probe 16	0.195908	0.239748	-1.143089	4.211098	0.511128	0.319156	-0.988634	-1.490857	-1.490857	-1.210801	0.505171	-0.816006	0.070135	1.083619	0.083711	2.630622	1.320614	0.340651	-0.588626	-0.507967	-0.020880	0.585351	3.665982	-0.313345	-1.490857	-1.058651	-0.030099	-1.490857	-1.490857	0.195484	-0.353933	-0.360574	-0.306197
Probe 17	2.789169	-0.547888	-2.810603	-2.912210	4.409718	1.594044	1.048381	-2.912210	1.473139	1.023145	-0.523008	0.780563	0.897602	-1.664416	1.498314	-2.912210	4.237333	0.570926	0.634147	1.383646	-2.912210	0.343887	-2.609412	1.356296	2.887175	-2.912210	-2.912210	-2.912210	-1.873453	1.156162	-2.912210	3.076274	-1.330804
Probe 18	1.538068	-0.119243	-0.604465	-2.064930	2.440053	1.102421	0.474986	0.962716	1.214558	0.425935	-0.859591	0.460703	0.141477	-1.333282	0.781548	-2.454927	1.554433	0.893585	0.545653	1.282570	-2.538672	1.174853	-3.140583	0.604544	2.323509	-2.794794	-2.537291	-1.599155	1.018782	0.871099	-2.426619	2.356361	-0.312701
Probe 19	1.226171	0.078291	0.153180	0.508741	1.048406	0.777103	0.661870	0.087327	0.038477	0.123958	0.960725	-2.272590	0.040562	0.344898	0.470606	0.698216	0.905327	0.754643	0.558489	1.143627	-0.167246	-0.280040	0.472496	-1.188188	1.014147	-2.272590	0.805078	-2.272590	-0.850914	0.932753	-0.025670	0.707285	-2.272590
Probe 20	1.254918	0.135076	-1.216631	-1.349003	1.280015	-0.038105	0.516703	0.382720	0.276549	0.663774	0.691279	0.608816	0.382598	-1.551540	0.984462	-1.536687	1.080189	0.618536	1.456130	1.243232	-0.616349	0.394264	-1.042895	0.855854	0.294703	-2.524061	0.723587	-1.387922	0.420685	0.122350	-1.429973	0.769202	1.459154
Probe 21	1.449487	0.458676	-0.692175	-1.306117	1.327040	1.004044	0.399435	-1.306117	0.706501	1.048723	1.216389	-0.376269	-0.630954	-0.268074	0.747196	-0.651652	0.953909	0.808832	0.934207	0.782033	0.119917	0.174933	-0.657143	0.330827	0.821286	-0.654344	0.163425	-1.306117	-1.306117	0.388924	-1.306117	0.686982	-1.306117
Probe 22	1.576603	-0.022124	-1.685450	-0.570720	1.454260	-0.647345	-0.125893	0.027075	-0.226558	0.669390	1.147799	-0.128282	0.672351	-1.491005	0.704782	-0.943113	0.667873	0.773945	2.129530	1.389567	-0.814935	0.705119	-1.685450	1.053456	0.955848	-1.685450	0.394371	-0.906270	-0.371414	0.600324	-1.685450	0.581756	1.757503
Probe 23	1.319271	1.005753	-1.457172	-0.809301	1.327578	0.933779	0.889075	-2.234052	0.674229	0.587964	1.006192	-0.178841	0.219807	-0.841415	0.336622	-2.234052	0.486226	0.676626	0.939094	0.890547	-1.271794	0.794947	-1.118089	0.574435	1.378455	-2.167242	-0.221755	-1.083153	-0.373955	1.204589	-1.603019	0.515883	0.460174
Probe 24	1.305391	-0.152478	-1.092068	-1.092068	0.695599	0.137518	0.520826	-0.297538	0.991785	-1.006073	-1.092068	1.227409	-1.092068	-1.092068	-0.304582	-1.092068	0.383017	-0.458499	-1.092068	-1.092068	1.426378	0.186910	-0.741175	-1.092068	1.611224	0.398241	-0.502845	0.037394	-1.092068	0.751212	-0.253142	-0.359899	1.373502
Probe 25	1.825299	-0.235241	-0.235241	-0.235241	-0.107725	-0.235241	-0.235241	-0.235241	-0.235241	-0.235241	-0.235241	-0.235241	-0.235241	-0.235241	-0.235241	-0.235241	-0.235241	-0.235241	-0.235241	-0.235241	2.389621	-0.235241	-0.235241	-0.235241	-0.235241	-0.235241	-0.235241	-0.235241	-0.235241	-0.235241	0.539838	-0.235241	0.346165
Probe 26	0.011438	-0.793483	-1.308340	2.170810	-0.625553	-1.627539	0.936694	-0.236427	0.140478	-1.627539	-0.267304	-0.996631	2.058689	0.986260	-0.195929	0.231284	-0.940478	0.703420	-0.460018	-0.567343	2.372675	-0.284431	2.738548	-1.104252	-1.477698	-1.627539	-0.664151	0.363771	-0.196464	-0.997549	0.170210	-0.929417	0.645252
Probe 27	0.850716	-0.831618	-0.092003	-0.520512	0.453280	-1.259199	-0.874729	-0.723820	-0.536307	-1.259199	-0.611541	-0.133686	-1.153401	2.988595	-1.259199	-0.940669	-0.468427	1.510587	-0.887106	0.666313	1.471808	-0.074003	-1.259199	-1.259199	-1.259199	0.314100	-1.259199	-1.259199	2.951759	-0.255591	-0.057702	0.645230	0.934520
Probe 28	-0.596967	-0.596967	1.009113	2.094467	-0.596967	-0.596967	-0.596967	1.438721	-0.596967	-0.596967	-0.596967	-0.596967	-0.596967	0.655580	0.384840	0.112204	-0.596967	-0.596967	-0.596967	-0.596967	2.309527	-0.596967	0.630543	-0.596967	-0.596967	-0.596967	-0.596967	-0.596967	2.148522	-0.596967	1.763075	-0.183575	0.090861
Probe 29	-0.410352	0.982610	-1.987980	-0.704148	-0.229583	0.732119	0.581494	-0.849480	1.351267	0.467858	1.702186	0.887207	0.838594	-2.363763	-1.247655	0.052542	-0.441565	0.269806	1.499422	0.715903	0.399977	-1.205738	-0.285396	-0.361822	0.301096	-0.467939	0.298150	-0.629321	-1.049727	0.392829	-0.880730	-0.089318	1.879064
Probe 30	0.378723	-0.192037	1.231081	1.571008	-1.164132	-2.483180	-2.483180	-1.269729	0.147567	-2.483180	-0.540530	-0.439095	0.207580	0.768180	0.337472	1.281928	0.888379	0.304512	-0.618692	-0.740997	1.813600	1.472765	2.228530	-0.636389	-2.483180	0.058410	0.826798	1.309019	-0.259998	-1.152983	1.762563	-1.462270	0.905581
Probe 31	-0.196294	-0.516098	2.789766	-1.270720	-1.270720	-0.753852	-0.696252	0.107476	-1.270720	-1.270720	-1.270720	1.139653	1.900472	0.441259	-0.638970	3.695882	-0.488311	1.687039	-1.270720	-1.270720	-0.015541	-0.971705	3.364564	-0.235227	-1.270720	-1.270720	-1.270720	2.583562	-1.270720	-1.270720	1.220283	1.132142	-0.807958
Probe 32	-0.309381	-0.309381	-0.309381	1.501221	-0.309381	-0.309381	-0.309381	-0.309381	-0.309381	-0.309381	-0.309381	-0.309381	-0.309381	-0.309381	-0.309381	-0.309381	-0.309381	2.307114	-0.309381	-0.309381	1.474809	-0.309381	-0.309381	-0.309381	-0.309381	-0.309381	0.157970	-0.309381	-0.309381	-0.309381	-0.309381	-0.309381	-0.309381
Probe 33	0.497965	-0.213891	-0.213891	-0.213891	-0.213891	0.364007	-0.213891	0.011148	-0.213891	-0.213891	-0.213891	-0.213891	-0.213891	-0.213891	-0.035047	-0.213891	-0.213891	-0.213891	-0.213891	-0.213891	2.441953	-0.213891	-0.213891	-0.213891	-0.213891	-0.213891	-0.213891	-0.213891	-0.213891	1.215221	-0.213891	-0.213891	-0.213891
Probe 34	-0.331701	-0.331701	-0.331701	-0.331701	-0.331701	-0.331701	-0.331701	0.645230	-0.331701	-0.331701	-0.331701	-0.331701	-0.331701	-0.331701	-0.331701	-0.331701	-0.331701	-0.331701	-0.331701	-0.331701	2.281234	0.764685	-0.331701	-0.331701	-0.331701	-0.331701	-0.331701	-0.331701	-0.331701	1.049699	-0.331701	-0.331701	1.177157
Probe 35	0.172499	0.236449	-0.397583	-0.253509	-0.397583	-0.344047	-0.382347	0.227994	-0.397583	-0.334427	-0.397583	-0.397583	0.157741	-0.397583	-0.397583	-0.397583	-0.397583	-0.397583	0.022604	-0.234510	1.564675	-0.397583	-0.397583	-0.397583	-0.169739	-0.397583	0.069768	-0.397583	-0.397583	-0.058108	-0.397583	-0.397583	2.707085
Probe 36	-0.096130	0.682665	0.031017	1.041162	-1.350045	-1.850027	0.574690	-0.510602	0.063892	-0.578292	0.987676	0.111444	0.666265	0.223258	0.202989	1.088216	0.754372	-0.335525	1.294760	-0.106758	1.303723	0.991220	0.861185	-0.869283	-0.204931	-1.945486	1.115543	-1.674176	-1.202036	-1.114866	0.889971	-0.115836	1.739823
Probe 37	-0.345188	0.663166	-0.261502	0.422607	-0.395878	-0.195545	0.063381	-0.536520	0.456023	-0.771057	0.602748	0.721919	0.418408	-0.358015	-0.404747	0.127057	-0.464125	-0.340211	0.891291	0.074206	0.257589	-0.045497	-0.046906	-1.163302	0.211408	-0.344245	0.095313	-1.119678	-0.704549	0.308891	-0.567589	0.442756	1.232733
Probe 38	-0.432084	-0.432084	-0.432084	-0.249791	-0.432084	-0.432084	0.034612	-0.432084	-0.432084	-0.432084	-0.432084	-0.432084	-0.432084	-0.432084	-0.284268	0.044593	-0.432084	-0.333437	1.938785	-0.432084	1.235339	-0.432084	-0.432084	-0.432084	-0.432084	-0.432084	1.779231	-0.432084	-0.432084	-0.432084	-0.432084	-0.432084	1.761635
Probe 39	0.388354	0.466427	0.273198	1.837027	-0.622140	-0.798293	-0.395828	0.142512	1.093686	-0.731827	-0.731908	-0.931865	0.470440	0.703539	-1.113638	0.706167	-0.224740	1.302430	0.744983	-0.265951	0.287848	0.044990	1.459548	-1.107276	0.674315	-0.542560	0.951511	-0.710894	-0.807616	-0.787771	0.949130	0.770151	-1.699825
Probe 40	-0.304235	1.068763	-0.876231	1.055330	-0.702339	0.354223	-2.282008	-0.332349	0.757346	0.084822	0.906563	0.258589	-1.381357	0.723756	0.466146	0.959144	-0.599800	0.270004	1.435677	-0.502992	0.092190	0.551045	0.448181	0.087073	-0.209782	-0.598698	0.121292	0.120747	-0.686639	0.239733	0.112588	0.197130	-0.302519
Probe 41	-1.773278	-1.773278	-0.265046	-0.031389	-1.773278	2.194496	2.113817	-1.773278	1.757658	1.245558	3.332863	1.143413	1.623083	-1.773278	0.847215	-1.773278	-1.702889	1.260400	3.012858	2.160389	1.183843	-1.773278	-1.773278	-1.773278	1.908618	-1.773278	-1.773278	-0.580437	-1.251438	2.901564	2.378806	0.662240	2.282542
Probe 42	0.027431	-1.860140	0.552590	1.142156	-1.219927	-0.445911	0.290890	-0.200098	0.519642	-0.055294	0.670063	-0.750938	0.722595	0.781298	-0.259080	0.823162	-1.489178	-0.334430	0.336200	1.010372	0.473031	-0.656314	0.399142	-0.355234	1.140267	-1.122883	0.775170	-0.723416	-0.805634	0.887462	2.277847	1.466061	-0.447268
Probe 43	0.307631	0.421405	0.275374	1.987619	0.523873	0.376548	0.052513	-1.549192	0.588387	-0.000229	0.085198	0.983742	0.157694	0.882222	-0.537236	1.023294	-0.307151	-0.243844	-0.608568	0.473043	0.607477	-0.603247	1.639555	-0.556611	0.641673	-0.823293	-0.328000	-0.930749	-0.998441	0.197118	0.437031	0.564966	-0.957119
Probe 44	-0.118475	-0.118475	-0.118475	0.322130	-0.118475	-0.118475	-0.118475	-0.118475	-0.118475	-0.118475	-0.118475	-0.118475	-0.118475	-0.118475	-0.118475	1.507839	-0.118475	-0.118475	-0.118475	-0.118475	-0.118475	-0.118475	-0.118475	-0.118475	-0.118475	-0.118475	-0.118475	-0.118475	-0.118475	-0.118475	2.790544	-0.118475	-0.118475
Probe 45	-0.034556	-0.176994	-0.651347	-0.141286	-0.073768	0.727176	0.192329	-0.528821	0.845619	0.375814	-0.059776	1.147365	0.607438	-0.317853	-0.882106	0.101378	-0.149261	0.037447	-0.252954	0.208592	-0.287376	-0.383433	0.466509	-1.037604	0.939350	0.860594	-1.255472	0.211382	-0.109331	0.325128	-0.148346	0.027501	1.115327
Probe 46	0.516578	-0.080964	0.903308	2.360942	0.075410	-0.296005	-0.784883	-1.390687	0.669463	-0.622392	-0.413962	-0.457302	0.654504	0.945936	-0.852805	1.717108	0.241240	0.579834	-0.475078	0.138467	-1.367323	-0.469084	1.659898	-0.519455	0.734458	-0.438739	-1.387283	-0.724478	-1.394648	-0.105643	1.085096	0.682595	-0.202899
Probe 47	0.287704	-0.236587	-0.237229	2.604404	-1.689553	-0.512535	-0.882661	-1.689553	0.332899	-0.874925	1.365827	-0.000347	0.205760	0.614275	0.439852	0.644290	0.617875	0.569882	1.335172	0.593931	0.108112	0.140360	0.131482	-1.648543	0.380181	-1.589190	0.420074	-1.595068	-0.862300	0.382442	0.998064	0.405186	0.965854
Probe 48	0.380552	0.180076	0.640957	1.314662	-0.806089	-0.899737	-0.308778	-1.052965	0.563491	-0.551315	0.006726	0.063174	0.337880	0.350097	-0.743642	1.599470	-0.066068	0.397195	0.833152	-0.180799	-0.981953	-0.509059	1.650543	-0.431981	0.269873	-1.561941	-0.241188	-0.560480	-0.656996	0.067453	0.650778	0.102872	0.511505
Probe 49	1.746405	0.018109	-0.116626	1.366188	-0.414723	-1.492408	-1.492408	-0.050759	1.639478	-1.492408	1.179028	-0.624311	0.427378	0.996028	0.404866	1.907362	0.294189	0.038592	0.933679	0.010010	0.095265	-0.111207	1.084252	-0.345269	-1.342567	0.381757	0.786676	-0.870133	-0.748175	-1.056360	1.247986	-0.387888	0.958124
Probe 50	0.791925	0.372815	0.257486	0.485279	-0.978113	0.175653	-0.220591	-3.138793	0.529546	0.270574	0.345371	-0.190343	0.290360	0.204591	0.341685	0.941442	0.879775	0.001873	1.130859	0.759386	0.034731	0.229718	0.428925	-0.383918	0.605715	-2.362117	1.362451	-0.476548	-1.249142	0.303026	0.533136	0.404493	-1.345358
Probe 51	0.280760	0.021220	-0.623924	0.292912	-0.305695	0.012645	0.298944	-0.157368	0.534609	-0.178669	0.874819	-0.370151	0.125353	-0.264230	-0.057627	0.478404	0.232257	0.059183	1.156177	0.104366	0.015791	0.207466	0.218602	0.062671	0.198498	-1.497652	0.216303	-1.151853	-0.948150	0.527076	-0.360009	0.268226	0.758755
Probe 52	-1.107863	0.386477	-0.414189	-0.359537	0.156125	0.657843	0.916548	-1.597326	0.998280	0.394048	1.241413	0.418562	-0.604423	-0.034285	0.239628	-1.597326	-0.096524	0.007674	1.085895	0.536243	-0.373174	0.306415	0.303956	-0.868640	1.903536	0.104488	-0.143191	-1.597326	-1.597326	0.784075	-0.902789	-0.335937	0.317011
Probe 53	0.469493	0.195169	-0.727302	0.956411	-0.964155	-0.098182	0.158511	-2.656650	0.242495	-0.585072	0.141474	0.812837	0.567210	0.098518	0.068246	1.230218	-0.041913	0.710135	-0.032890	-0.374035	-0.650362	0.830171	1.088484	-0.100963	-0.565346	-0.545990	0.564225	-0.675383	-1.846476	-0.168269	0.049801	1.363546	-0.550588
Probe 54	-0.305844	0.467571	-0.811795	0.184572	0.233259	0.149858	-0.465914	-0.811795	0.852002	-0.811795	0.514976	0.177269	0.134222	-0.811795	0.170012	0.587974	-0.151871	-0.811795	2.010362	-0.129484	-0.462112	0.028410	0.345326	-0.182156	-0.260338	-0.137568	0.740695	-0.811795	-0.811795	-0.355137	-0.277724	0.658180	1.469520
Probe 55	1.485171	1.305844	-0.473294	1.461232	0.859260	-1.732043	-1.048778	-0.349323	0.600140	-1.209699	1.634738	-0.622277	-0.572720	0.552839	-0.089700	1.020536	-0.517870	1.238209	1.454427	-1.676725	0.415381	-1.158450	0.882615	0.268451	0.782369	-1.597417	-0.301850	-1.836653	-0.956692	0.099360	1.564176	1.026812	0.220363
Probe 56	0.476316	-0.069607	0.595083	1.156826	0.121368	-0.729067	-0.549936	-1.164042	0.202159	-0.776363	0.212604	-0.950581	0.687783	0.961012	-0.164935	1.135785	0.079348	0.506241	-0.114293	-0.683285	-0.825153	0.536866	1.266888	-0.383335	-0.405623	-0.271726	-1.079891	0.306264	0.152593	-0.779903	1.859483	-0.527526	0.379443
Probe 57	0.516713	-0.340153	-1.658262	-0.219945	0.463801	1.129909	0.777847	-2.309233	1.099631	0.892656	0.176263	0.522906	0.514605	0.229078	0.064107	0.014606	0.199554	0.451650	-0.542553	0.643079	-1.033268	-0.000250	0.254105	-0.975938	1.196104	-0.617007	-0.840965	-0.051671	-1.043489	-0.165148	-0.487221	0.813499	0.974784
Probe 58	0.742468	-0.309772	0.644187	1.690395	0.359055	-0.437872	-1.519254	-0.274033	0.247307	0.201841	0.170528	-1.965830	1.078567	0.976900	0.457167	1.634489	0.691810	0.608551	-1.239888	0.674092	-0.631914	-0.239393	1.717204	0.619186	-0.559649	-1.965830	-0.442570	-0.358985	-0.960239	-1.081400	1.542948	0.644627	-0.999025
Probe 59	-1.472467	-1.585075	0.056051	-1.302618	0.815459	-1.585075	0.471903	0.851599	-0.618579	-1.585075	-0.192137	0.918949	1.114705	-0.209768	0.800731	-1.585075	1.321815	-1.585075	2.105027	-1.585075	-1.585075	0.995510	-1.585075	-0.549582	-1.585075	0.394272	1.350846	-1.091125	0.046818	1.532392	0.809370	0.506388	2.821327
Probe 60	-0.335137	-0.335137	-0.335137	0.007621	-0.335137	-0.335137	-0.335137	-0.335137	-0.335137	-0.335137	-0.335137	-0.335137	-0.335137	-0.335137	1.167680	3.144494	0.054430	-0.335137	-0.335137	-0.335137	-0.335137	-0.335137	3.545133	-0.335137	-0.335137	-0.335137	-0.335137	-0.335137	-0.335137	-0.335137	-0.335137	-0.335137	-0.335137
Probe 61	-0.203198	-0.203198	1.375022	-0.203198	-0.203198	-0.203198	-0.203198	-0.203198	-0.203198	-0.203198	-0.203198	-0.203198	-0.203198	-0.203198	-0.203198	-0.203198	0.438348	-0.203198	-0.203198	-0.203198	-0.203198	-0.203198	3.207534	-0.203198	-0.203198	-0.203198	-0.203198	-0.203198	-0.203198	-0.203198	0.518689	-0.203198	-0.203198
Probe 62	-1.040790	0.167197	0.863667	1.403450	-1.335237	-0.341235	-0.011248	-0.023414	-1.335237	0.480530	1.572150	-1.335237	-1.335237	0.437567	0.536946	0.780559	0.769100	0.292663	0.771863	-0.067963	-1.335237	-0.001812	1.519547	-0.367648	-0.244476	-0.008933	0.217253	-0.424573	-1.335237	-0.754469	1.661769	0.517899	0.704973
Probe 63	0.450888	0.229435	0.836257	1.926135	-0.350980	-0.926549	-0.926549	-0.926549	-0.110246	-0.926549	-0.405180	-0.926549	0.414877	0.939158	0.894103	1.638055	0.217498	-0.657977	-0.926549	0.256824	1.200306	-0.926549	3.714791	-0.926549	-0.258577	-0.926549	1.530901	-0.926549	-0.926549	-0.926549	2.014825	0.263139	-0.926549
Probe 64	1.674100	-1.556055	-0.256222	1.680598	-0.380372	-1.556055	1.099535	-0.479817	-1.556055	0.967926	0.348718	-0.614168	-1.175636	1.612214	1.002874	0.997379	1.522896	-1.556055	-1.017847	1.225656	0.256856	0.155508	0.822169	-0.926416	-0.632322	-1.556055	-1.556055	-0.635372	-1.556055	-1.431593	-0.563253	1.279570	0.791698
Probe 65	-0.169100	1.019708	-1.265247	0.148102	0.297290	-0.508407	-0.386317	-1.088735	1.284313	0.208890	-0.694628	0.165019	0.226246	0.053656	-0.168012	1.129845	-0.357466	0.929037	1.781716	0.604291	0.094074	-0.090964	0.809436	-0.521991	1.080096	-1.120410	-0.109518	-0.647102	-0.462359	0.055355	-0.483161	0.698318	0.234094
Probe 66	-0.539149	-2.061403	0.042998	2.203353	-0.960853	1.266632	0.551491	-0.359204	1.870552	1.648369	-0.101859	-2.061403	2.317413	-2.061403	-0.566783	-1.217782	-0.258175	-2.061403	-1.011238	2.072539	1.832153	0.212522	-2.061403	0.978230	2.267241	1.601641	0.863385	0.367349	1.954114	1.221489	-2.061403	4.016886	-2.061403
Probe 67	0.568249	0.448319	0.298218	-0.191691	-0.962087	-0.962087	-0.962087	-0.962087	1.823362	-0.962087	-0.962087	1.118757	1.505419	-0.870004	-0.703626	-0.200209	-0.962087	3.333554	-0.393686	-0.962087	-0.962087	1.545037	0.830208	-0.219790	-0.048808	0.317385	-0.962087	3.437859	-0.168441	0.358773	-0.962087	-0.624076	0.812827
Probe 68	-0.383305	-0.383305	0.441785	-0.383305	-0.383305	-0.383305	-0.383305	-0.383305	-0.383305	-0.383305	-0.383305	-0.383305	-0.383305	2.372859	-0.383305	3.286757	-0.383305	-0.383305	-0.383305	-0.383305	-0.383305	-0.383305	-0.383305	-0.383305	-0.383305	-0.383305	-0.383305	-0.383305	-0.383305	-0.383305	6.938623	-0.383305	-0.383305
Probe 69	0.080612	-0.445173	0.691702	1.656529	-1.111814	0.341041	-0.968868	-0.710435	0.740189	-0.016570	-0.510128	1.142294	0.280690	0.546092	-1.061101	0.624655	-0.514767	-0.452910	-0.384294	0.794197	0.814166	-0.305289	0.827132	-0.640932	0.826987	-0.532770	-0.614563	0.003321	-0.356680	0.362485	0.836158	0.667635	-1.494364
Probe 70	0.632828	0.498649	-1.485154	0.300838	-0.146741	0.181712	0.472952	-1.485154	1.472143	0.948225	0.829851	1.379785	0.926975	0.257558	-1.485154	-0.703997	0.301442	0.356185	0.963138	0.699658	-0.890849	-1.247107	-0.829782	-1.369042	1.697702	-0.273146	-1.485154	-1.485154	-1.485154	1.052735	0.013776	0.434129	0.418180
Probe 71	0.065943	0.531160	-1.380002	-0.856892	0.705210	0.574112	0.704094	-1.561146	1.628104	0.749796	0.504340	0.585968	0.503117	-0.272158	-0.805770	-0.680289	-2.024971	-0.026006	0.109776	0.577752	-0.493794	-0.157672	-0.468679	-0.803065	0.633642	0.683657	-0.956668	-0.119343	-0.593896	0.525756	-0.124905	0.465042	0.827071
