Probe ID	Training experiment 1	Training experiment 2	Training experiment 3	Training experiment 4	Training experiment 5	Training experiment 6	Training experiment 7	Training experiment 8	Training experiment 9	Training experiment 10	Training experiment 11	Training experiment 12	Training experiment 13	Training experiment 14	Training experiment 15	Training experiment 16	Training experiment 17	Training experiment 18	Training experiment 19	Training experiment 20	Training experiment 21	Training experiment 22	Training experiment 23	Training experiment 24	Training experiment 25	Training experiment 26	Training experiment 27	Training experiment 28	Training experiment 29	Training experiment 30	Training experiment 31	Training experiment 32	Training experiment 33	Training experiment 34	Training experiment 35	Training experiment 36	Training experiment 37	Training experiment 38	Training experiment 39	Training experiment 40	Training experiment 41	Training experiment 42	Training experiment 43	Training experiment 44	Training experiment 45	Training experiment 46	Training experiment 47	Training experiment 48
Probe 22	0.482839	0.000000	0.754736	-0.472925	0.357605	2.249556	-1.256908	-0.962229	0.814619	0.202616	-0.593680	0.539679	-1.590007	-0.700843	0.778631	-0.012711	1.192235	0.112865	0.394955	-0.495431	-0.703558	1.379627	0.854349	0.239204	0.171139	-1.620518	0.490605	-0.253920	1.109266	-0.374268	0.450824	-0.096281	2.360590	-0.310929	0.000000	-0.485108	0.691314	0.228366	0.000000	-0.489451	-2.715622	0.146334	-0.393332	1.600417	-0.298111	-1.659397	0.063117	0.792510
Probe 23	-0.928906	0.401232	1.286230	-0.246640	-0.929538	-0.486244	-1.201294	-0.594338	-0.449957	1.775209	-0.533633	-0.633640	-0.458539	-1.722466	-0.214427	-0.765766	-1.611524	0.272237	-0.703370	-0.933810	-0.152975	0.122719	-0.647621	-0.783508	-0.341213	-1.123989	-0.523103	0.000000	-0.785149	-0.775704	0.747077	-0.344423	-0.566521	0.000000	-0.413467	1.176878	0.416998	0.000000	-0.067700	-0.354029	-1.632591	0.000000	-0.286363	-1.754781	-0.302368	0.003305	-0.726453	0.713660
Probe 24	0.756936	0.235020	0.071568	-0.109047	0.277007	0.000000	-0.219184	0.487477	0.783338	2.141839	-0.235761	-0.307894	0.262852	-3.165279	-0.312892	-1.675636	-0.190052	0.332899	0.797634	1.278426	1.107305	0.385965	-1.859643	-1.398326	-0.862396	0.000000	0.251055	0.766447	1.617401	0.488129	1.061383	0.215361	0.407364	2.468149	0.837362	-0.483349	0.473989	0.754282	0.979280	-0.120630	-3.007686	0.591037	0.729853	-0.185453	-0.087759	0.815754	-2.223947	0.260047
Probe 25	-0.386054	0.307182	0.391715	-0.509070	0.091190	0.968206	-0.115647	0.064146	0.186010	-0.789673	-0.693264	0.670400	-0.026127	0.558828	0.112266	0.118877	0.605293	-0.229377	-0.675471	-0.671353	0.435548	0.374481	0.400484	-1.432856	-1.545789	0.007798	1.699174	-0.882748	-0.627962	0.299185	0.139463	0.268305	0.443404	-0.730146	-0.149861	-0.557556	0.858981	-0.554915	-0.233334	-0.141150	0.866210	-0.225156	0.532394	0.237133	-0.490282	-0.267717	0.376870	0.702011
Probe 26	-0.116053	-0.764469	0.359594	0.406524	-0.787027	-0.331535	-0.977360	-0.889157	0.843133	-0.269393	0.173248	0.605862	-0.507315	1.398842	0.298135	-0.598529	-0.889557	-1.234275	0.049155	0.251316	-0.085910	-0.316987	-0.299905	-0.916032	-0.978263	-1.257777	-0.227622	0.194780	-0.342048	-0.153396	-0.377887	0.026759	-0.150649	-0.097110	-0.906544	-0.363470	-1.270324	0.250794	-1.298750	-0.714359	-0.346428	0.805855	0.738778	1.378813	-0.326976	-0.237229	-0.681582	-0.783945
Probe 27	-0.512229	2.197330	0.233316	-1.241749	1.220825	-2.283713	0.855240	3.033153	-2.089670	0.790585	1.735078	-1.267651	0.656272	-0.939216	-0.787801	-0.300677	0.164571	0.771308	0.519814	0.260177	0.645177	0.492516	-3.140404	-0.629510	-0.095129	1.080039	0.122270	-0.407514	0.852299	0.200623	-0.578354	1.563160	1.322311	-0.517163	-0.975026	0.000000	0.607105	-1.293651	-0.562936	0.836946	-1.172874	0.157003	-0.418820	2.138600	1.710188	-0.254431	-2.968253	0.446798
Probe 28	0.027698	0.022583	-0.090968	-0.674794	0.899627	-0.209955	1.108282	1.975197	0.024711	0.000000	0.681379	0.459212	1.153002	-0.283445	-0.768557	0.927149	-0.006398	0.782727	0.818948	1.196421	1.290722	0.236239	-2.365142	1.310741	0.632695	0.615163	0.068098	0.984313	-0.035968	0.660906	1.161516	1.306564	0.478047	0.552681	0.445724	0.290862	0.426265	0.323321	0.726286	1.672387	-0.005116	-0.699185	0.063862	0.186102	1.668809	-0.022638	-0.092725	0.469212
Probe 29	0.472595	0.718266	-1.815541	0.622038	0.464570	-2.667650	0.793494	1.005488	-0.373962	0.355726	2.028140	2.269262	0.545519	-0.234342	0.431606	0.711968	0.963251	1.575515	0.922775	1.269177	0.677978	-0.119272	-1.022018	-1.242549	-0.077378	0.975468	0.760738	0.695994	0.764140	0.242174	1.210945	2.309328	0.951782	0.128454	1.312970	-0.240655	0.113162	0.434368	-0.041477	1.615282	1.063630	0.693022	0.512910	0.917389	0.215385	-0.327691	-0.300422	0.582615
Probe 30	-0.004935	0.191463	1.344213	0.246619	-0.201302	-0.947128	-4.661655	0.291704	-0.521790	0.421107	-1.028489	0.791978	-0.751987	-0.797183	0.000000	0.305808	-3.440490	-0.321699	-0.111096	-1.584963	-0.646890	-0.747583	1.217934	-0.133856	-0.862269	-2.604314	0.661094	-2.402003	0.714770	-1.418112	0.746689	-3.260026	0.433134	1.047442	0.162599	1.943456	0.000000	-0.595304	0.205512	-0.710288	1.324650	0.244777	0.537657	-0.600671	-0.983238	-0.995196	0.616357	-0.618093
Probe 31	-3.823488	-2.267005	-4.361291	-0.170440	-4.707083	-4.012569	-2.243993	-1.247536	1.088115	-3.198494	2.020837	-4.673218	-2.994472	-3.489236	2.332744	1.428942	-0.514759	-4.473172	-3.868230	1.894266	-4.690976	-0.384664	-5.238405	-1.713044	-5.504620	-1.181528	-2.185603	-4.339124	-0.530066	-2.225755	-4.448901	-2.678939	1.135534	1.542146	-3.634206	1.336487	-3.865919	-0.499571	-4.041268	1.137665	2.262582	-3.268730	-4.195348	-5.745775	-2.499071	1.365167	-2.715744	-5.428199
Probe 32	-0.132582	-0.604405	-1.449422	0.188799	1.044213	-0.946866	-0.421607	-0.768151	-0.605286	0.000000	0.256838	1.048511	-0.210182	-1.112104	0.410769	-0.264446	1.010577	1.961695	0.510014	-1.302523	-0.068250	0.081817	-1.705210	-2.081311	0.291726	-1.424820	-0.284958	0.998407	0.265311	0.983532	-1.215699	-0.289507	0.493490	0.802456	-0.818162	0.000000	-1.473724	0.559998	0.252484	-0.717469	0.228426	-0.016989	-0.247230	-0.777925	-0.424943	-1.322516	-1.540489	0.145920
Probe 33	0.042644	0.622930	-0.241862	0.041013	0.632441	1.070522	-0.778566	-0.889147	-0.580370	0.000000	-1.393145	1.949324	0.581554	0.000958	1.382584	0.000000	1.141382	0.319880	-0.168329	-0.483483	1.600582	1.121306	0.735106	-0.366551	-1.074382	-1.321359	-0.591776	-1.489516	-0.195698	-0.020625	-0.056996	-0.887041	0.925051	-0.281449	0.000000	0.000000	-0.947331	-0.822924	0.632643	-1.166221	2.346627	-0.441549	0.386854	0.032375	-1.632955	-0.508811	0.238212	0.311556
Probe 34	-1.889711	0.497147	-4.852145	0.246794	-0.203351	-4.123232	-5.623808	-1.464582	1.439431	-3.270529	-2.657112	-0.225345	1.508071	1.209996	-1.766713	-3.269954	-1.391764	0.015133	1.661209	-0.333843	1.167526	-0.511188	-5.116864	-1.024733	-0.356492	-5.517906	-3.486750	1.302540	-1.345058	-3.702871	0.646737	-2.208502	-0.032240	-0.286649	1.495726	-5.371097	0.000000	0.433678	-2.525599	-0.041778	-3.848998	-0.685035	-0.280610	-0.517171	-1.704221	-1.216845	0.409911	0.798581
Probe 35	-4.179138	-4.340854	0.645187	3.263540	-6.232853	-4.825689	-6.293150	-5.887038	-5.906061	-4.589164	-4.928370	-5.564785	-4.435612	-5.092566	0.862211	-4.516646	-3.975820	-4.930737	-4.098622	-4.927422	-6.009213	-2.055712	-5.614710	-5.355342	-6.473137	-6.100137	-4.742345	-6.574102	-4.772414	-4.940385	-5.715344	-4.593336	-4.273823	-4.834748	-3.967760	-5.634738	-4.575312	-4.669027	-5.125882	-5.788425	-5.473787	-4.659294	-5.209843	-6.377297	-5.136876	-4.752213	-3.496075	-5.072198
Probe 36	-1.019656	-0.150583	-0.864557	-1.093624	-2.348800	0.528110	0.059800	-0.904595	-0.845150	-1.995929	-0.033246	-1.043974	-2.524590	1.756961	-1.036935	1.058140	-1.066089	0.469485	-1.371220	-0.281771	-0.900800	-0.697948	-0.052693	-1.110054	-1.932542	0.133451	-0.297101	-0.028353	-1.651431	-1.144565	-0.843075	-0.582432	-1.423320	-1.546001	1.041570	-0.981167	0.000000	0.007523	-1.193466	-0.981444	0.355924	0.952837	-1.499795	-1.228545	-0.128971	-1.557623	0.356821	-2.380831
Probe 37	1.097641	-2.377367	1.883405	-3.094465	-3.244701	-4.573191	-5.262397	-4.382146	-1.097268	-4.600799	-3.190152	-3.852168	-3.682145	-4.633176	-0.495210	-4.239982	1.485251	1.658013	-0.782847	-2.213073	-1.175758	2.842695	-3.882858	-3.769751	-2.716561	-5.065718	-3.214208	1.030614	1.411831	-2.400212	-3.150933	-3.659996	-1.206193	-2.533772	-2.950602	-1.694855	0.855193	-1.210107	-3.431206	-3.101487	-4.207732	-2.240482	-1.696669	3.251764	-3.062824	-2.906192	-3.054605	2.778298
Probe 38	-1.627961	0.092673	-3.992111	0.124832	-0.332928	-3.627159	-4.263800	-1.660911	1.121713	-5.173527	-1.970400	-0.513837	1.665967	1.918658	-4.296063	-2.464075	-1.380873	-0.136731	1.530242	-0.542352	0.537887	-0.773724	-3.948892	-1.007375	-0.124040	-4.889960	-3.479594	1.006958	-1.170541	-3.604959	0.397928	-2.157836	-0.235450	0.262577	1.398378	-3.870105	0.388046	0.354267	-2.627939	-0.217314	-4.726831	-1.594755	-0.475657	-0.573459	-1.700233	-0.821529	-0.155415	0.336705
Probe 39	-0.275477	0.626826	-0.456169	0.671604	-0.638468	0.496893	0.027998	0.023315	-1.595346	-0.953791	-0.371349	-0.181341	-0.777193	0.874061	0.145671	0.367200	-0.556176	-0.686976	-0.777095	-0.211948	-1.499659	-0.994439	0.213090	-1.447942	-1.628418	-0.004991	-0.140687	-0.697246	-0.560974	-0.492305	-0.721829	-0.385697	-0.588307	-0.930968	-0.904827	0.264657	-1.975923	-0.205013	0.081775	-0.554940	-0.609938	-0.281768	-0.328962	-0.550937	-0.566189	-0.649545	-0.001457	-0.306299
Probe 40	-2.529999	-0.732088	-1.653730	2.388729	-2.292027	-1.910187	-2.049544	-1.466652	-0.714100	-4.873813	-2.016846	-2.409822	-1.909823	-2.686130	-1.096042	-2.380622	-0.956636	-1.256399	1.843655	-0.973312	-1.449389	-1.352608	-1.411129	-1.134362	-3.234591	-1.612207	-1.838747	-1.433300	-1.723195	-1.026794	-2.593460	-1.711324	-1.961396	-1.348522	-1.196906	-1.765790	-1.290928	-0.555963	-0.910976	-1.517263	-1.711787	-0.107395	-1.236625	-2.043410	-1.463797	-1.302563	-0.243165	-2.331091
Probe 41	0.240306	-0.147911	-0.026783	-0.791625	0.048251	0.246997	1.216029	1.962584	0.450501	0.222245	1.637528	0.101992	0.377917	-1.447211	0.473163	0.025311	0.292590	0.332761	0.920273	1.421281	0.543457	-0.338265	-0.533745	-0.182811	0.391415	0.740036	0.346825	-0.179292	-0.763707	0.036774	0.355663	0.477734	0.484356	-0.590801	-0.679911	-0.047370	-0.208269	0.239816	-0.353756	1.677762	0.604673	-0.532107	-0.204383	-0.259500	1.293452	0.739004	-0.221638	0.209273
Probe 42	-0.122865	-0.059356	-0.976241	-0.326327	0.168463	-1.736106	-0.778090	-1.133632	-0.320263	-0.720303	0.973457	1.130294	-0.138238	-1.549307	-0.092756	-0.711749	0.694540	0.613917	-0.388132	0.066927	0.251566	-0.574426	-2.451244	-1.684234	-0.489491	-0.755581	-2.258250	0.064498	0.419572	0.292591	-0.648493	0.279117	0.561145	-0.130903	-0.207476	-0.763075	-1.512244	0.625901	0.232047	0.175126	-0.293062	-0.548118	-0.845939	-0.907962	-0.439658	0.012321	-0.351158	1.094123
Probe 43	-0.879686	-1.101361	0.039787	-0.028302	0.392380	-0.288958	0.812700	1.547587	0.653146	-0.965311	0.896555	1.150167	-0.254947	-0.528412	0.141187	-0.050697	0.554669	-0.189230	-0.219911	0.283649	1.005336	0.000000	-1.008758	-0.231099	1.042399	0.368965	0.700598	0.415423	0.675280	0.297996	0.187865	0.167820	-0.149678	1.467126	0.000000	0.417461	-0.853034	1.169925	1.057016	0.938352	-1.119591	0.533285	-0.356545	1.041077	1.536937	0.707712	-1.243043	0.371411
Probe 44	-1.607834	0.000000	-3.248807	-0.342568	-1.426949	-3.636915	-2.252484	0.034036	1.447535	-3.537296	-3.384839	-0.336959	-0.401980	-3.533519	-0.545698	-1.877588	0.041191	1.567359	-1.135777	-2.927649	0.687415	3.032888	-3.669027	-0.265734	-1.091326	-3.834457	-4.445594	1.956896	0.345112	-0.225573	1.513806	-2.574140	-1.353508	0.150816	0.392743	-2.651945	-0.099080	1.431369	0.296718	-2.466216	-0.018869	1.214024	-1.451060	-4.450874	0.000000	0.991739	-2.312414	-3.696206
Probe 45	-0.541502	0.077462	-0.573729	1.159714	0.741329	0.266942	-1.020798	-1.002720	-0.632046	-0.095144	-0.675068	-1.104247	0.282044	-0.772129	1.969908	-0.796958	-0.541017	-0.658353	-0.519571	-0.567847	-1.254937	-0.424688	0.111365	-0.018499	-0.932512	-1.006107	-0.766476	0.120674	-1.286299	-1.530920	-0.503975	-1.035563	1.022592	0.066150	-1.147494	-0.472557	-2.623726	-0.713696	-0.063229	-0.937933	-0.253608	-0.714174	-1.297044	-0.483859	-1.070389	-0.201285	-1.057836	-0.620793
Probe 46	-0.140764	0.602055	0.000000	-0.073429	-0.541466	0.943039	0.024467	-0.018212	-5.861245	-0.053091	0.276247	0.193005	-0.855438	1.217665	0.294275	-3.760779	-0.190695	0.454566	-0.270590	0.091351	0.100290	0.068413	0.135533	-1.961432	0.282901	0.071617	-0.041472	-0.591194	-0.230651	0.000000	-0.041510	-0.083427	0.758709	-0.254821	0.860370	0.205126	-0.527658	0.397932	0.000000	-1.026354	-0.069775	-0.079074	-0.172908	-0.812644	0.369177	-0.567353	0.408455	-0.292955
Probe 47	-0.044394	0.615796	1.037998	0.203986	-0.646768	-1.762678	-4.321527	-0.234139	-1.017376	0.823296	-1.656972	0.995954	-1.030845	-1.271160	-0.111759	-0.077058	-4.770356	-0.927344	-0.405882	-1.009219	-0.943567	0.000000	0.900153	-0.195651	-0.939318	-2.739673	0.352353	0.000000	-0.088212	-1.985303	0.072815	-3.109361	0.364112	1.565294	-0.929455	1.355360	-3.144348	0.186992	-0.256505	-1.035006	0.415816	0.453173	0.140056	-1.450247	-1.571178	-0.442518	1.081267	-0.894001
Probe 48	-1.098068	-0.131136	-0.625297	-1.231014	-2.171874	-0.735899	-2.080653	-2.232061	-1.207038	-1.241889	-1.806497	0.773714	-0.191458	-0.190938	-0.411411	-1.202774	-0.456484	-0.047532	-0.876685	-0.658492	-0.001132	0.960858	2.812702	-0.977061	-1.433201	-2.575840	0.202471	-0.250702	-1.497302	-0.942729	-0.325342	-1.149824	-0.647996	-0.083091	-0.450539	-0.738659	-0.249337	-0.590531	-0.688980	-0.101538	0.376169	-0.422737	-0.159427	-1.840021	-1.153725	-0.477110	-0.293599	-0.632909
