Probe ID	Training experiment 1	Training experiment 2	Training experiment 3	Training experiment 4	Training experiment 5	Training experiment 6	Training experiment 7	Training experiment 8	Training experiment 9	Training experiment 10	Training experiment 11	Training experiment 12	Training experiment 13	Training experiment 14	Training experiment 15	Training experiment 16	Training experiment 17	Training experiment 18	Training experiment 19	Training experiment 20	Training experiment 21	Training experiment 22	Training experiment 23	Training experiment 24	Training experiment 25	Training experiment 26	Training experiment 27	Training experiment 28	Training experiment 29	Training experiment 30	Training experiment 31	Training experiment 32	Training experiment 33	Training experiment 34	Training experiment 35	Training experiment 36	Training experiment 37	Training experiment 38	Training experiment 39	Training experiment 40	Training experiment 41	Training experiment 42	Training experiment 43	Training experiment 44	Training experiment 45	Training experiment 46	Training experiment 47	Training experiment 48	Training experiment 49	Training experiment 50	Training experiment 51	Training experiment 52	Training experiment 53	Training experiment 54	Training experiment 55	Training experiment 56	Training experiment 57	Training experiment 58	Training experiment 59	Training experiment 60	Training experiment 61	Training experiment 62	Training experiment 63	Training experiment 64	Training experiment 65	Training experiment 66	Training experiment 67	Training experiment 68	Training experiment 69	Training experiment 70	Training experiment 71	Training experiment 72	Training experiment 73	Training experiment 74	Training experiment 75	Training experiment 76	Training experiment 77	Training experiment 78	Training experiment 79	Training experiment 80	Training experiment 81	Training experiment 82	Training experiment 83	Training experiment 84	Training experiment 85	Training experiment 86	Training experiment 87	Training experiment 88	Training experiment 89	Training experiment 90	Training experiment 91	Training experiment 92	Training experiment 93	Training experiment 94	Training experiment 95	Training experiment 96	Training experiment 97	Training experiment 98	Training experiment 99	Training experiment 100	Training experiment 101	Training experiment 102
Probe 11	-0.190801	0.125057	-0.211964	0.080750	0.070974	-0.024698	-0.398811	0.737460	-0.188161	-0.159464	0.182449	-0.375805	-0.144593	-0.181341	0.045441	-0.568416	0.134856	-0.037354	0.097258	-0.439515	0.002926	-0.377759	0.378872	0.379895	-0.021937	0.483905	-0.112967	-0.160720	-0.262736	-0.005837	0.061697	0.251864	0.138826	0.116148	0.132537	-0.482195	-0.244639	-0.326856	0.053682	-0.297384	-0.236390	0.117585	0.004902	0.533350	0.182651	0.030573	0.066634	0.009777	-0.089601	0.170616	0.037842	0.559683	0.298819	-0.523364	0.235318	-0.069139	0.048220	-0.168929	-0.154466	0.289012	0.221236	-0.237830	-0.094888	-0.299556	0.167700	0.420930	0.022513	0.613807	0.239388	-0.187585	-0.077290	-0.342758	0.156835	0.169250	-0.026696	0.527470	0.061085	0.128982	0.197221	-0.343342	-0.193187	0.641202	-0.291426	-0.689274	-0.377954	0.143611	0.023151	0.090563	0.340018	-0.002169	-0.416288	0.062978	-0.196675	-0.260769	0.147367	0.267377	-0.291742	-0.123820	-0.247999	-0.016240	0.065967	0.011662
Probe 12	0.298700	0.072874	0.007426	-0.499270	-0.075766	0.276506	-0.395106	-0.051117	1.423998	-0.354945	-0.183038	1.828022	-0.483309	0.241575	0.056341	-0.176266	0.174738	0.188167	0.049276	1.933064	-0.186805	1.908389	-0.325192	-0.004846	-0.452487	-0.103937	-0.244649	0.002065	0.201292	0.257505	0.265574	-0.316432	-0.275516	-0.012432	-0.408447	-0.386098	1.356088	0.012130	-0.251249	-0.041542	-0.404517	-0.304780	-0.020698	-0.045929	-0.388083	0.078755	0.086952	-0.390611	-0.253348	-0.490491	-0.414020	0.006217	0.090039	1.860248	-0.175268	-0.078740	-0.513533	1.408882	1.388401	-0.316477	0.002493	0.127138	-0.276746	-0.018708	-0.521052	0.056383	0.038115	0.020424	0.172344	1.228240	0.026454	-0.448959	-0.456903	-0.098697	-0.449963	-0.087703	-0.487520	0.044151	-0.259608	1.812570	-0.005277	-0.379517	0.004727	-0.384007	-0.450622	0.004518	0.011779	0.264870	-0.354522	0.316006	1.413213	-0.252769	0.353685	1.385929	-0.045995	-0.270826	1.408957	0.020653	0.004406	-0.042764	0.003923	-0.007939
Probe 13	-0.296742	-0.242963	-0.669239	-0.279868	-0.239670	-0.407029	-0.368886	-0.518160	-0.419277	-0.418022	-0.137176	-0.447690	-0.889080	-0.470017	-0.251873	-0.456174	-0.396337	-0.483234	-0.538072	-0.527288	-0.346113	-0.460199	-0.502757	-0.282493	-0.371544	-0.393799	-0.391495	-0.103132	-0.152543	-0.446612	-0.578616	-0.487518	-0.181300	-0.387472	-1.162551	-0.330448	-0.425179	-0.628525	-0.044510	-0.560279	-0.286299	-0.128895	-0.398939	-0.252314	-1.396248	-0.277034	-0.685810	-1.046363	-0.274770	-1.586141	-0.355255	-0.459529	-0.396884	-0.523878	-0.185012	-0.389745	-0.403999	-0.450826	-0.444885	-0.118785	-0.612840	-0.281051	-0.501376	-0.648513	-0.919491	-0.491687	-0.392236	-0.416725	-0.528939	-0.434600	-0.228008	-0.303917	-1.244185	-0.341199	-0.332105	-0.297763	-0.061506	-0.601795	-0.450445	-0.436625	-0.481175	-0.425336	-0.614876	-0.315322	-0.370329	-0.646836	-0.604711	-0.502012	-0.257513	-0.492684	-0.551063	-0.002589	-0.479898	-0.411744	-0.653715	-0.432966	-0.395748	-0.207693	-0.583535	-0.452095	-0.448684	-0.380046
Probe 14	-0.607747	-0.528876	-0.372098	-0.806202	-1.019133	-0.569082	-0.214307	-0.760277	-0.541042	-0.077122	-0.692625	-0.354264	-0.635435	-0.557270	-0.634786	-0.059335	-0.532978	-0.583745	-0.309354	-0.337484	-1.444740	-0.503756	-0.704762	-0.953180	-0.973735	-0.937507	0.097801	-0.673430	-0.682785	-0.620295	-0.519715	-0.696955	-0.637036	-0.609839	-0.608878	-0.098771	-0.373880	-0.372026	-0.520992	-0.363361	-0.490908	-0.626717	-0.487634	-0.356087	-0.472347	-0.609231	-0.358709	-0.547302	-0.485064	-0.366638	-1.020576	-0.971564	-0.752980	-0.340410	-0.724713	-1.167044	-0.716091	-0.433350	-0.397494	-1.122179	-0.322807	-0.540241	0.074511	-0.251319	-0.506729	-0.900723	-0.662052	-0.910839	-0.640301	-0.288688	-0.705930	-0.613186	-0.496478	-0.621250	-1.088029	-0.927441	-1.151560	-0.264793	-0.611108	-0.407905	-0.307266	-1.051735	-0.303619	0.117536	-0.207386	-0.326914	-0.784601	-0.700822	-0.896387	-0.638431	-0.262242	-0.625435	-0.589337	-0.448410	-0.298918	-0.729754	-0.395006	-0.633084	-0.374225	-0.447977	-0.573457	-0.610956
Probe 15	0.002693	0.014894	0.052481	-0.552777	-0.235657	0.031086	-0.140601	-0.123031	-0.085281	0.207097	0.039309	-0.269894	-0.098153	0.032055	-0.212013	-0.074185	-0.426247	-0.393161	-0.363622	-0.204715	-0.226561	-0.247243	-0.013952	-0.096246	-0.427787	-0.222752	0.306870	-0.019188	0.003293	-0.002875	-0.035613	-0.045704	0.037872	-0.161143	-0.061723	-0.173550	-0.025154	0.088306	0.064315	0.127259	-0.115737	-0.000214	-0.101416	0.027674	-0.027622	-0.159069	-0.365298	-0.029828	0.085997	-0.081707	-0.447074	-0.103650	-0.484981	-0.307873	0.014526	-0.210302	-0.121486	-0.048923	-0.092833	-0.375002	-0.301285	0.050796	0.281700	0.059146	-0.052128	-0.044110	-0.150198	-0.046756	-0.434128	-0.124285	-0.090016	-0.158072	-0.061660	-0.117520	-0.398540	-0.159094	-0.408587	-0.376475	0.055357	-0.276325	0.059452	-0.146803	0.053444	-0.199248	-0.203565	-0.359720	-0.168226	0.023318	-0.088103	0.005159	-0.249046	0.023988	0.025039	0.023207	-0.348532	-0.044926	-0.116452	-0.051534	0.115686	-0.101949	-0.124175	-0.138232
Probe 16	1.343922	0.676270	0.093358	0.805329	0.759622	1.567662	0.747586	1.566655	1.056100	0.781048	0.551254	0.980104	0.674364	1.319861	1.170639	0.828061	1.560226	1.688224	1.002280	0.887878	0.695342	0.917757	0.595999	1.415151	0.859551	1.307717	0.807483	1.213533	1.302348	1.421884	0.630815	0.643359	0.728964	0.804801	0.747050	0.830178	1.072440	0.069280	0.613705	0.400116	0.795916	0.657085	0.880358	0.654725	0.738931	1.138621	0.977587	0.726044	0.792182	0.758864	0.805688	1.545133	1.648362	0.913629	0.581814	0.724154	0.735590	1.050056	0.930778	0.694805	1.013396	1.185579	0.804825	0.014748	0.727885	1.617056	1.158260	1.570590	1.701450	0.975820	1.127595	0.754701	0.622748	0.824586	0.749838	1.301423	0.743121	1.023585	0.604861	1.012110	-0.248706	0.460249	0.161315	0.741760	0.771123	1.016239	1.160069	0.625818	0.338735	1.403005	0.982354	0.718568	1.630790	0.989796	0.990667	0.626373	0.955387	1.183122	0.366595	0.881028	0.869366	0.902080
Probe 17	0.397713	-0.741192	-0.509361	-0.468798	-0.418572	0.517600	-0.737641	0.286569	-0.024516	-0.391551	-0.711297	-0.314616	-0.770969	0.363015	-0.432284	-0.637124	0.600472	0.671199	-0.599302	-0.295053	-0.312863	-0.272442	-0.748521	0.139547	-0.404356	0.114920	-0.385097	-0.399435	0.323486	0.454284	-0.833368	-0.709426	-0.607731	-0.449483	-0.769459	-0.715999	0.039059	-0.503203	-0.563720	-0.495924	-0.695119	-0.579831	-0.453417	-0.657625	-0.819267	-0.477581	-0.661244	-0.806074	-0.604457	-0.744145	-0.184269	0.230014	0.624920	-0.183574	-0.686824	-0.373942	-0.853025	-0.025109	-0.041969	-0.246862	-0.561519	0.185089	-0.458453	-0.593311	-0.733334	0.216766	-0.464038	0.199700	0.682607	-0.081167	-0.511949	-0.709475	-0.685158	-0.538257	-0.345091	0.080097	-0.507714	-0.522430	-0.701300	-0.304731	-0.523511	-0.621440	-0.487005	-0.720826	-0.780883	-0.532152	-0.439813	-0.789908	-0.743956	0.443392	-0.231675	-0.573228	0.548193	-0.113051	-0.516572	-0.676672	-0.166253	-0.500810	-0.512366	-0.428079	-0.436447	-0.440979
Probe 18	0.537251	0.586345	1.058914	0.209302	0.176332	0.449042	0.472021	0.152711	1.162608	-0.184289	0.913643	0.177610	0.495041	0.461731	0.951889	0.358667	-0.336106	-0.368295	1.086908	0.187146	0.150936	0.187103	0.463097	0.132064	0.186627	0.115922	-0.257845	0.797044	0.549642	0.558730	0.782543	0.556716	0.862811	0.900086	0.441967	0.461744	1.182170	0.999285	0.849405	0.869254	0.485061	0.859345	0.868209	0.456307	0.526232	0.842192	0.679000	0.510192	0.711235	0.572163	0.198250	0.170086	-0.473831	0.204867	0.931793	0.048020	0.310091	1.173657	1.244062	0.259718	1.055277	0.444055	-0.184892	1.058877	0.336532	0.035933	0.874975	0.165423	-0.305267	1.324494	0.849209	0.512783	0.393941	0.888028	0.119461	0.094510	0.076296	1.102553	0.494243	0.190030	0.857092	0.732243	1.059356	0.383617	0.461790	1.086334	0.880378	0.654593	0.641584	0.561570	0.031872	0.714946	0.417640	1.220328	1.044849	0.556815	1.345384	0.856678	0.920076	0.844462	0.857217	0.886717
Probe 19	0.166080	0.562896	0.591489	0.982714	0.668360	0.125121	0.528961	0.770691	0.088747	0.416674	0.318710	0.504142	0.621237	0.186872	0.322862	0.511749	0.487792	0.410461	0.338473	0.509183	0.687202	0.501002	0.771270	0.646350	0.988885	0.817088	0.334357	0.397924	0.254857	0.172699	0.578268	0.835160	0.427227	0.242223	0.657222	0.565660	0.033592	0.587185	0.476642	0.634610	0.575742	0.352890	0.185516	0.568417	0.756160	0.325335	0.280326	0.673519	0.402572	0.645015	1.002810	0.614702	0.480243	0.540683	0.347250	0.625018	0.776614	0.024817	-0.052752	0.801232	0.405320	0.293155	0.291202	0.601670	0.718898	0.659289	0.255435	0.705338	0.360850	-0.067610	0.400174	0.590398	0.569244	0.236343	0.870083	0.782091	1.131288	0.368008	0.810242	0.547763	0.729829	0.983834	0.606432	0.547316	0.463800	0.385792	0.250528	0.608944	0.964856	0.186950	0.579757	0.398894	0.098325	0.025682	0.378498	0.854419	0.079766	0.338541	0.561749	0.213803	0.236216	0.232982
Probe 20	0.469155	-0.269771	0.142746	-0.558765	0.066855	0.674085	-0.197879	0.338934	0.264800	-0.129159	-0.463812	-0.144695	-0.223609	0.364985	0.160434	-0.206879	0.478101	0.574694	0.084745	-0.192706	-0.286964	-0.117861	-0.017602	0.241879	-0.235028	0.390404	-0.042283	0.271868	0.377569	0.451383	-0.344960	0.146926	-0.524365	-0.073001	-0.203710	-0.200168	0.313985	0.158846	-0.476899	0.126158	-0.186436	-0.420870	0.010866	-0.082618	-0.252318	0.227053	0.022285	-0.230646	-0.448911	-0.213350	-0.339469	0.373168	0.562876	-0.141160	-0.558608	-0.190699	-0.363167	0.258267	0.163220	-0.372356	-0.013919	0.258333	-0.070266	0.047400	-0.239492	0.535127	0.204291	0.323913	0.590544	0.158221	0.211254	-0.327029	-0.363234	-0.191065	-0.434227	0.195161	-0.396064	0.046434	0.215606	-0.153455	-0.071142	-0.158539	0.135737	-0.207799	-0.257649	0.042492	0.250360	-0.216659	-0.086004	0.521875	-0.192301	-0.352750	0.716440	0.182810	-0.010879	0.125011	0.191479	0.136396	0.103072	-0.043612	-0.041891	-0.015501
Probe 21	-0.169638	-0.202807	-0.401312	-0.218652	-0.174865	-0.121375	0.332493	-0.130056	-0.240077	-0.105108	-0.275430	-0.313551	-0.158813	-0.158359	-0.176629	0.370708	-0.380821	-0.400362	-0.204505	-0.243152	-0.207367	-0.300712	-0.034226	-0.294592	-0.163828	-0.240854	-0.054272	-0.039554	-0.248083	-0.207048	-0.133976	-0.059811	-0.224399	-0.249012	-0.141605	0.285053	-0.358941	-0.289424	-0.263552	-0.332063	0.344422	-0.276194	-0.246691	-0.098677	-0.146850	0.102125	-0.187587	-0.096795	-0.376027	-0.061222	-0.228212	-0.268943	-0.330675	-0.347373	-0.274359	-0.107112	-0.156491	-0.305794	-0.286175	-0.238508	-0.191691	-0.205880	-0.045089	-0.328370	-0.121433	-0.189620	-0.101268	-0.181648	-0.355773	-0.424913	0.041494	0.219640	-0.106531	-0.254106	-0.210207	-0.192999	-0.187246	-0.155416	-0.044048	-0.407935	-0.298222	-0.152378	-0.288789	0.320802	0.274159	-0.152003	-0.188700	-0.150419	-0.112180	-0.102593	-0.405392	-0.220127	-0.134181	-0.229689	-0.261546	0.018637	-0.349845	0.016586	-0.247685	-0.225127	-0.302737	-0.235808
