Probe ID	Training experiment 1	Training experiment 2	Training experiment 3	Training experiment 4	Training experiment 5	Training experiment 6	Training experiment 7	Training experiment 8	Training experiment 9	Training experiment 10	Training experiment 11	Training experiment 12	Training experiment 13	Training experiment 14	Training experiment 15	Training experiment 16	Training experiment 17	Training experiment 18	Training experiment 19	Training experiment 20	Training experiment 21	Training experiment 22	Training experiment 23	Training experiment 24	Training experiment 25	Training experiment 26	Training experiment 27	Training experiment 28	Training experiment 29	Training experiment 30	Training experiment 31	Training experiment 32	Training experiment 33	Training experiment 34	Training experiment 35	Training experiment 36	Training experiment 37	Training experiment 38	Training experiment 39	Training experiment 40	Training experiment 41	Training experiment 42	Training experiment 43	Training experiment 44	Training experiment 45	Training experiment 46	Training experiment 47	Training experiment 48	Training experiment 49	Training experiment 50	Training experiment 51	Training experiment 52	Training experiment 53	Training experiment 54	Training experiment 55	Training experiment 56	Training experiment 57	Training experiment 58	Training experiment 59	Training experiment 60	Training experiment 61	Training experiment 62	Training experiment 63	Training experiment 64	Training experiment 65	Training experiment 66	Training experiment 67	Training experiment 68	Training experiment 69	Training experiment 70	Training experiment 71	Training experiment 72	Training experiment 73	Training experiment 74	Training experiment 75	Training experiment 76	Training experiment 77	Training experiment 78	Training experiment 79	Training experiment 80	Training experiment 81	Training experiment 82	Training experiment 83	Training experiment 84	Training experiment 85	Training experiment 86	Training experiment 87	Training experiment 88	Training experiment 89	Training experiment 90	Training experiment 91	Training experiment 92	Training experiment 93	Training experiment 94	Training experiment 95	Training experiment 96	Training experiment 97	Training experiment 98	Training experiment 99	Training experiment 100
Probe 11	6.838461	7.890573	5.594471	7.150808	7.157011	9.209788	6.540770	8.249422	8.020553	7.201121	5.790792	7.958589	5.770794	7.450353	7.549553	7.962800	7.093603	6.622648	7.998672	7.855746	8.578275	7.471593	8.032310	7.297884	6.345139	6.794395	7.982583	7.680882	9.479488	10.484795	7.172344	7.498925	9.170675	8.440226	6.564864	8.265995	6.208847	7.163685	8.839343	7.696600	7.663926	7.512712	6.303976	7.437788	7.496032	7.729513	6.268063	5.414360	8.911578	9.066056	7.681504	6.982703	8.483122	9.248004	7.123600	7.034357	7.089884	8.523866	6.618388	9.107575	6.137552	7.601648	7.943199	6.661596	7.205728	9.038242	6.207736	7.700862	8.719710	7.310768	5.520079	7.113473	10.118515	7.692036	6.266937	7.607136	7.493672	10.772136	9.106761	5.799581	6.869410	7.680219	9.817398	8.362075	8.060433	7.992984	8.531033	7.656974	7.629758	8.039432	8.507321	7.239206	7.707737	9.487763	7.919417	9.314326	7.779394	7.255212	6.538846	7.893277
Probe 12	4.144135	4.228648	4.911889	4.070267	3.939457	3.784304	3.718302	4.371667	5.895590	4.192979	3.975557	4.620896	3.493454	4.392409	4.191216	6.135954	6.094701	4.384025	4.904469	4.136217	4.092412	4.012065	3.615573	4.064411	4.366563	7.363062	4.277124	3.949379	4.289764	4.422465	5.263913	4.039625	4.199840	7.155517	6.955681	3.959647	4.517240	4.239625	4.043014	4.345773	3.745450	4.084660	7.651719	3.951841	4.364498	7.485340	5.337730	5.575073	3.818582	4.016736	4.128366	4.155614	5.111673	3.820120	3.793646	3.926684	3.909963	4.024524	5.734325	3.888370	4.755268	4.267258	4.103294	4.132359	5.538342	4.056348	4.136953	3.686148	5.733352	4.227963	4.778784	4.069798	3.945180	4.118027	4.580339	3.502276	3.588078	4.232887	3.803948	4.459597	3.940446	7.074709	3.972396	4.320058	6.821948	4.670697	4.165898	7.237250	3.744481	3.844870	4.294154	3.691642	4.076425	4.331133	3.786046	4.130020	4.124642	4.093540	3.866364	3.975842
Probe 13	5.568108	5.633320	6.224908	5.626999	5.231532	5.653735	4.861179	4.647782	6.717733	5.668404	5.688708	5.718279	4.763331	4.940841	5.931371	6.854888	7.674672	6.115261	5.937529	4.422327	5.981633	4.440648	5.131241	6.484107	4.691128	6.769779	6.892597	6.502642	5.364333	6.020530	5.531658	6.912794	4.296225	6.414617	6.723411	6.062234	6.096220	4.504502	5.826935	4.149834	5.222199	5.193999	6.150702	5.192218	4.700853	7.190705	5.724258	4.902859	7.303693	5.996945	7.872634	4.456951	7.208075	7.083216	6.381824	6.181622	5.313300	4.910333	4.849016	8.149385	5.911103	5.004092	5.266140	4.886976	6.487048	6.223291	6.573704	6.400535	6.467392	5.899875	4.680560	5.614316	5.376333	5.879472	6.069125	5.860507	4.764827	6.220568	6.552142	6.025859	4.168124	5.990439	4.835993	5.265130	6.619998	6.359170	7.796723	6.350412	5.151960	6.587408	7.104009	6.091890	6.315529	4.779858	6.785666	7.869625	5.171115	4.899373	4.668441	4.705544
Probe 14	5.172125	3.528065	3.875942	3.722861	5.978322	4.321049	4.952411	4.639893	3.150774	4.734243	4.398955	3.148830	4.002032	7.330239	4.364710	3.564954	4.361184	4.269567	5.027869	3.790227	4.725997	3.912293	3.626852	4.203667	3.449562	3.626179	3.192389	4.612134	4.811968	4.145062	3.840760	4.320854	3.900918	4.649735	3.772397	4.064508	4.153189	3.505303	3.570517	3.020321	4.410013	3.821683	5.044675	3.588934	3.688691	4.418114	4.393024	2.814334	4.765339	4.439015	4.895765	4.629383	4.973146	4.477239	3.790525	5.392397	5.954550	4.706394	4.871670	4.000510	4.892403	4.744764	4.570714	4.419820	4.043854	4.601553	4.278879	4.991239	5.364248	4.890483	3.119205	4.413795	4.159703	4.153318	3.327286	3.223953	6.289013	5.413664	3.928526	3.468033	3.863107	4.944986	4.585420	4.420193	4.550541	4.268224	4.527108	4.133533	3.929641	4.500029	4.063929	2.926933	4.165951	3.111496	4.785051	5.107484	4.845372	4.810737	4.822593	5.119411
Probe 15	4.514207	4.341371	5.462438	3.967279	3.907191	3.974938	3.914826	4.278846	7.270836	4.022298	3.871497	3.708341	4.194035	4.452204	3.840648	7.628818	7.315038	4.245722	3.443729	3.716581	4.187700	3.785010	3.590250	3.616639	3.896988	8.208489	5.343555	4.030925	3.554436	3.894569	4.310387	3.848351	4.410887	8.186053	8.333516	3.980869	4.793243	4.352492	4.057820	3.933165	3.785783	4.285993	9.046765	3.670532	3.459688	8.663527	4.792498	4.055427	4.026880	4.244017	4.473843	3.856599	5.881372	4.617726	3.488460	3.592139	4.624594	4.670929	4.602866	3.842199	4.279679	3.686210	4.270222	5.093788	6.773890	4.133049	4.584780	4.064328	7.869891	3.943288	3.094090	4.145163	3.845784	3.916424	4.143798	3.995813	3.479866	4.283749	4.266467	4.439894	3.233507	8.199940	4.296493	3.899922	7.884818	4.423110	4.301893	8.178525	4.467053	4.057904	4.630860	3.691278	3.761395	4.517142	3.661315	3.807133	3.942482	4.099929	4.217189	4.003243
Probe 16	2.988729	3.048422	3.582881	2.927234	2.769672	2.589932	5.741710	2.440729	3.803386	2.989857	2.687213	3.026796	2.731257	2.745597	2.546170	3.901657	4.188237	3.468730	3.074046	2.540183	2.633165	3.145607	2.916804	2.533759	3.216627	5.285449	3.027806	2.685643	3.383213	3.208418	3.393712	2.373849	2.946045	3.349561	5.278852	3.159040	3.614772	3.524920	3.193596	2.891817	2.761008	2.443104	4.037755	3.228850	2.309509	4.575710	2.741669	3.044811	3.130274	3.122183	5.397529	2.897634	3.486222	2.799125	2.743368	3.166026	2.306288	3.364501	3.137567	2.661436	2.969159	2.755791	3.352762	2.772506	3.534158	2.558433	2.907898	2.726892	4.108052	2.793650	3.784632	2.564660	2.726190	2.607474	3.505359	2.958563	3.646758	2.479060	2.799786	3.266156	2.937784	4.112074	2.730838	3.786705	5.436516	3.126572	3.215454	5.482042	2.611679	2.858266	2.930649	2.777052	2.471240	3.267289	2.354243	2.893882	2.672797	3.654334	3.414627	2.697990
Probe 17	4.094689	5.927055	6.641434	5.524221	6.429694	5.849154	5.762969	4.556786	5.688327	6.965384	6.503253	4.847765	5.194879	4.287987	6.092996	5.309180	4.763657	5.299246	5.126479	5.422885	5.883887	5.865777	6.150904	5.350799	6.264354	5.865121	7.366522	5.797499	5.383183	4.824846	4.717229	6.107547	5.287026	6.503732	5.088981	5.797719	5.115033	5.586006	5.886642	5.488342	5.566037	5.821376	6.642105	6.292289	6.845228	5.244169	5.148865	5.505028	5.087888	6.023840	6.206042	5.409862	6.177812	4.667926	5.948870	5.557929	4.090700	5.450767	5.617510	6.000912	4.681234	6.481595	5.924123	3.260798	6.132304	5.265964	5.913219	5.054710	5.478222	5.891222	6.959286	5.729871	6.528294	4.927951	4.877636	6.743719	5.520253	6.052774	5.700011	5.937407	7.857327	5.965151	6.227333	5.566669	6.351588	5.531430	5.360563	6.439336	3.644131	5.593009	6.051354	6.182282	6.141381	6.041210	6.217961	6.096528	5.742666	5.272874	5.116582	5.777722
Probe 18	7.072333	6.692259	6.153802	7.624792	6.397605	7.516333	7.149429	6.020397	7.571773	7.815413	6.686664	7.734840	6.073984	7.831202	6.623551	8.431149	7.921379	7.307572	7.711378	5.288817	5.052468	6.242925	7.005968	8.127934	6.598099	7.521848	7.413530	5.122927	4.777146	6.296489	7.477473	7.177825	5.894639	7.706341	6.852699	7.103190	7.490586	7.063697	6.605426	7.096882	7.060398	7.236349	7.012708	6.698966	5.756606	7.472058	6.617847	6.179686	7.256645	6.973885	7.984510	7.031867	7.623938	7.331053	7.336219	7.335826	5.613508	6.972418	6.101176	7.936928	6.997616	7.399321	7.754475	6.856349	7.335747	7.309629	7.470118	8.914265	8.536203	7.812526	7.261865	7.197128	6.067092	7.993406	6.468191	8.911693	7.175322	6.855092	7.661052	6.912056	5.642696	8.085893	6.374847	4.579768	8.424510	8.443039	8.033515	7.956980	7.671072	8.652308	7.200656	7.327244	8.281273	4.395822	6.296251	7.773182	7.389673	7.259296	6.343731	5.828869
Probe 19	5.503857	3.954295	3.372872	5.167100	4.053819	5.901044	4.283875	4.179213	3.931251	3.483581	4.113364	4.528972	5.927581	5.420250	4.994804	2.801311	5.089506	4.504184	4.103036	3.948522	3.423428	4.167398	3.979951	5.000557	3.484493	4.501056	4.509562	5.959992	4.506608	4.925404	4.061036	2.729430	3.893196	2.965082	4.162114	6.213487	4.910268	5.904422	5.669411	5.815781	6.273547	4.711238	4.370400	4.882099	4.363363	4.002102	4.444480	2.941821	5.605465	5.801900	3.770547	3.923339	5.137375	6.042750	5.125908	5.581569	5.319818	5.263228	3.785397	6.911071	4.068632	4.151391	5.006579	3.555853	4.994225	5.615581	4.006039	5.466287	3.697144	3.613767	5.632364	4.192277	5.400577	4.578721	4.587954	5.426051	2.538723	4.316805	5.474364	3.298624	3.976567	4.208751	5.446495	5.457639	4.906810	5.220474	5.682973	4.325323	2.353557	5.674219	5.343839	4.863876	6.364719	2.637778	4.884191	6.009107	4.613571	3.965565	5.685282	5.134951
Probe 20	7.146244	7.697104	9.216413	8.178418	8.201835	8.091087	5.696389	7.242353	7.858881	7.201121	8.567478	7.078069	7.082961	7.683431	7.255551	8.009103	8.867799	9.984810	8.238792	7.435234	7.501531	8.195789	9.088154	6.073766	7.428456	9.256851	8.830488	8.958573	6.892696	7.630251	7.590066	9.338131	6.959218	8.281892	8.019717	7.860160	7.959514	7.937778	7.884196	8.133710	7.715409	8.033578	8.885943	7.548830	8.485142	8.428045	8.585881	8.110939	8.137214	8.209610	9.535594	7.835979	8.581212	8.224277	8.969333	8.242383	5.551145	7.231697	7.624152	8.174213	7.928026	8.155897	9.728731	6.910681	7.413506	8.556045	7.547448	8.182587	7.964778	8.746563	7.625232	7.905229	8.173614	8.664717	8.612330	8.704454	7.736132	8.007891	8.434888	6.806303	8.901761	7.985756	6.421799	5.804577	9.464987	8.441496	8.866000	9.427256	8.256389	7.290373	8.007322	9.459296	8.706988	6.641728	7.678776	7.956782	8.209377	7.722259	8.469688	6.666260
Probe 21	4.506644	6.704377	3.663063	6.086726	5.860140	7.591674	4.950957	5.759979	6.241589	4.026380	4.970824	5.730726	4.927519	4.055165	5.379135	6.184174	6.573043	4.935174	4.736103	6.379585	4.499155	5.580098	7.165577	6.573546	4.596434	6.823306	5.193509	5.585017	4.431428	5.128026	5.269598	5.821546	5.319641	6.039033	5.507631	6.959887	5.134247	6.272900	6.737835	5.678932	6.024764	5.722819	5.092162	5.641002	4.992819	6.309449	5.650470	4.156499	6.137727	6.674753	6.836256	5.010111	5.796692	7.138692	6.607428	5.491785	4.553822	5.322552	4.302212	7.784775	6.647571	5.985744	4.863446	6.078670	5.969791	6.771950	5.920838	8.042656	6.936866	4.688022	5.204601	5.021968	4.707350	5.925619	6.069792	6.876250	5.779183	5.890578	6.371658	3.720579	5.121719	5.744452	5.529024	4.583013	7.320648	6.777616	6.770983	6.876525	5.358474	7.404654	6.296910	6.382857	7.568477	5.717006	6.132163	7.464270	5.475442	4.910688	6.777852	6.427256
Probe 22	5.870466	6.687815	4.712184	8.398054	9.065530	7.241899	7.886805	6.519306	6.193575	8.524626	6.314014	5.499770	8.281067	8.704275	7.446723	7.545219	7.074213	4.664145	4.966547	7.516842	7.832067	8.152862	5.795983	5.202898	6.618310	7.776644	6.550134	8.770531	5.904940	6.547924	5.029390	8.761540	5.534060	8.181384	7.459822	6.402705	8.079514	8.801473	6.193270	7.218968	7.580822	5.362681	7.396263	8.172754	5.783880	7.298743	8.252187	7.691249	6.153946	6.343136	5.343425	7.959635	6.598694	6.838496	7.632032	7.128422	6.397719	6.164661	4.894714	6.567469	8.791271	7.034765	9.211797	9.197702	5.790015	6.513153	6.426569	7.322699	7.409051	6.086240	6.978910	6.778794	6.596154	8.156028	8.273991	4.958409	6.518838	5.355733	6.515226	7.968683	7.041270	7.391217	5.691570	6.604098	8.318575	4.737510	6.161548	8.234532	8.731010	7.100469	5.915702	6.637545	7.471873	7.818224	6.757648	6.307971	7.551146	5.874263	8.176500	7.919561
Probe 23	5.629600	4.864219	4.162075	5.403202	6.227689	5.614012	4.932875	3.974040	5.814715	3.891103	4.744085	4.745949	4.227630	5.395724	5.539458	5.543952	4.986782	4.338986	6.801461	3.673264	4.590471	4.961272	5.483547	5.470694	4.561276	5.288709	6.561499	4.668620	4.891839	3.992820	4.265056	5.705554	4.574405	5.668243	4.246528	5.620944	5.967415	4.719881	5.658504	4.883621	4.685984	5.203510	6.252997	4.558741	4.797890	5.761099	4.938342	4.821518	6.428535	6.041425	5.521321	3.983901	6.446599	6.023736	5.413529	5.783525	5.325616	5.486558	5.908644	7.418620	6.685277	5.376056	5.798242	5.047033	6.167220	6.006619	5.700931	5.454228	5.025876	5.857125	4.645146	4.771578	4.999304	5.349949	5.097510	6.016167	5.886878	5.115225	6.319110	6.285863	3.766443	4.982607	5.425099	4.660112	6.069997	6.038136	6.525505	5.261336	3.294308	6.247402	6.431883	5.199024	5.353293	3.270277	6.478316	6.797224	5.143472	6.157249	5.687518	5.329923
Probe 24	4.411849	5.097615	3.134189	5.859166	5.093470	5.906805	4.311358	5.486737	5.633778	5.738591	4.307128	5.406235	4.361798	5.128302	5.489762	4.176689	4.889179	4.501878	4.151325	6.647936	6.106675	4.122062	5.557030	6.463715	3.695876	4.856544	5.381712	6.392906	4.709690	6.132047	5.025039	4.778149	5.184619	5.918013	4.108959	6.330069	5.364519	6.633699	6.102320	5.436590	4.895788	4.427592	4.369223	5.806599	3.957666	4.520100	5.418936	4.090113	6.272158	5.686320	5.398574	4.729360	5.392250	6.662654	5.933825	4.801196	5.509075	5.754665	4.513470	7.811267	5.948607	5.451820	5.154171	5.238665	5.036522	5.467191	5.061284	6.914386	5.244953	4.483644	3.267139	4.318380	6.654933	5.569460	5.162102	5.838650	3.303643	6.541700	5.718133	4.879873	3.593595	4.960278	5.664261	5.891908	5.471394	6.023315	5.383435	4.957044	4.357399	6.765002	6.357373	4.761516	6.795623	4.854883	6.812939	6.709546	5.952580	5.761067	5.333999	6.236776
