Probe ID	Training experiment 1	Training experiment 2	Training experiment 3	Training experiment 4	Training experiment 5	Training experiment 6	Training experiment 7	Training experiment 8	Training experiment 9	Training experiment 10	Training experiment 11	Training experiment 12	Training experiment 13	Training experiment 14	Training experiment 15	Training experiment 16	Training experiment 17	Training experiment 18	Training experiment 19	Training experiment 20	Training experiment 21	Training experiment 22	Training experiment 23	Training experiment 24	Training experiment 25	Training experiment 26	Training experiment 27	Training experiment 28	Training experiment 29	Training experiment 30	Training experiment 31	Training experiment 32	Training experiment 33	Training experiment 34	Training experiment 35	Training experiment 36	Training experiment 37	Training experiment 38	Training experiment 39	Training experiment 40	Training experiment 41	Training experiment 42	Training experiment 43	Training experiment 44	Training experiment 45	Training experiment 46	Training experiment 47	Training experiment 48	Training experiment 49	Training experiment 50	Training experiment 51	Training experiment 52	Training experiment 53	Training experiment 54	Training experiment 55	Training experiment 56	Training experiment 57	Training experiment 58	Training experiment 59	Training experiment 60	Training experiment 61	Training experiment 62
Probe 11	1.272293	-0.358768	0.245822	-0.318905	0.205960	0.405276	0.833804	1.249042	0.136199	0.740790	0.146165	0.883633	0.551440	1.561305	0.000000	-0.003322	-0.126233	0.458426	-0.833804	0.086370	0.215925	-0.428529	-1.029798	1.564627	-0.199316	0.863701	-0.471714	-1.192575	-0.122911	0.737468	-0.225891	-0.508255	-1.043085	-0.684317	0.205960	0.498289	-0.863701	-0.823838	0.315584	-0.179384	-1.239077	-0.408597	-1.006544	1.408501	0.019932	0.335514	0.724180	0.362090	-0.631166	-1.159348	1.471611	-0.448461	-0.910208	-0.564728	0.102980	0.461748	-1.259007	-0.053151	0.358768	0.116268	-0.737468	-0.205960
Probe 12	-0.534830	-0.089692	-0.169418	0.764043	0.906886	-1.876890	0.760722	-1.282269	0.222569	-0.581338	-1.003223	0.817195	-0.159452	1.989835	1.388571	-0.305618	-0.348802	-0.597947	-1.627748	-0.328871	-0.212603	-1.166002	-1.285590	-0.318905	-0.119590	0.724180	0.016610	-0.667707	0.289008	-0.016610	-0.325549	-1.378595	-1.079626	-0.292329	0.225891	0.126233	-0.229213	-0.132877	0.199316	0.272399	-0.813873	-1.710788	-1.544697	0.910208	0.368734	0.441817	0.391987	-2.318707	-1.225791	-0.465070	0.485002	0.378700	-0.647775	-0.651098	-0.777331	-0.109624	-0.242501	0.943427	0.428529	-1.601164	-0.428529	-0.750756
Probe 13	-0.139521	0.239179	-0.342159	-0.345480	-0.574694	-1.082949	0.986613	2.807025	0.926818	-0.222569	-0.697605	0.471714	-1.328771	0.119590	-0.621200	1.016510	0.176062	0.315584	-0.209282	0.232535	-0.302295	-1.239077	0.750756	0.156131	0.049829	0.355446	0.421885	0.013288	0.391987	-0.903565	0.156131	0.368734	-0.707571	0.059795	0.674352	0.305618	-0.382022	-0.006644	0.478357	1.342058	0.006644	-0.661064	-0.581338	0.259110	-0.783975	-0.162775	-0.737468	-0.159452	-0.348802	-0.275720	0.308939	0.421885	-0.478357	-0.328871	-0.292329	0.129556	0.923496	-0.176062	-0.534830	0.049829	-1.305520	0.009966
Probe 14	-3.594321	-3.438195	-2.298777	-3.066143	-3.727207	-5.288512	-3.517924	-2.235656	-3.341858	-4.135797	-3.056178	-2.308742	-3.504638	-4.085973	-4.311863	-3.129253	-1.996478	-2.601064	-0.870346	-2.508060	-4.411522	3.335215	1.149383	-3.202340	-4.202240	-3.441517	-2.209083	-2.175867	-3.474733	-3.388371	-4.152405	-3.823544	2.587778	-0.820516	-2.498095	-3.438195	-3.391693	-3.777031	-3.099359	-0.807229	3.860082	1.328771	2.092816	-3.780353	-2.876790	-1.205861	-2.484797	-2.019730	2.252264	-3.468089	-4.082651	-2.919971	-3.644156	-4.076008	-3.052857	-3.700623	-3.717242	-2.454903	-3.464768	-4.614162	2.870147	-3.969706
Probe 15	-0.079726	-0.581338	0.225891	0.611235	-0.096336	-1.401857	-0.332193	0.079726	0.700927	0.056473	-0.322227	-0.644454	-0.279042	0.245822	0.059795	0.498289	0.016610	0.102980	-0.754078	-1.013189	-0.126233	0.342159	1.099558	0.318905	0.647775	0.003322	-0.235857	-0.372056	-0.415240	0.312261	-0.039863	-0.176062	-0.847091	-0.405276	-0.362090	-0.205960	-3.318607	0.239179	-0.524864	0.428529	0.916852	0.252467	-0.857057	0.212603	0.418563	-0.385344	-0.202637	-0.159452	0.770688	-0.149487	-0.315584	-0.455104	-0.591303	0.159452	0.302295	0.036541	-0.873667	1.949976	1.225791	-0.036541	-0.315584	-0.076404
Probe 16	0.235857	-0.597947	0.076404	0.518221	-3.321928	-0.096336	-2.933268	0.544796	0.803907	-0.973325	-2.331993	0.684317	0.740790	-3.471411	1.079626	-0.418563	0.979968	-2.694080	-3.325250	-0.488323	1.116167	0.282363	-1.893498	-1.179288	-1.049730	-2.361887	0.544796	0.169418	0.199316	-1.863604	0.518221	0.578015	-3.544497	1.156026	-0.827160	-0.697605	0.906886	0.551440	-3.292034	0.328871	-2.919971	-2.504738	-0.667707	0.900242	-2.298777	1.953298	0.112945	0.916852	0.637811	-0.056473	-0.584660	-0.362090	-2.527989	0.657741	0.661064	-1.534732	-0.355446	-0.604591	0.554762	-0.305618	1.641034	-0.169418
Probe 17	-0.624522	-0.245822	-0.999900	-0.365412	-0.471714	-6.643856	-0.485002	-0.166096	0.916852	-1.072983	0.810550	-0.999900	-0.504934	-1.302198	0.511577	-0.710892	0.019932	0.511577	-0.345480	-1.059695	0.355446	0.003322	1.242399	0.840448	0.036541	0.063117	-0.382022	-1.255685	0.518221	-1.146061	0.528187	-0.249145	-1.445038	1.192575	-0.149487	-0.461748	0.528187	-0.056473	-1.361987	0.754078	0.289008	-0.149487	-0.561406	-0.126233	0.438495	1.388571	-0.876989	0.391987	1.016510	0.139521	-0.478357	-0.385344	0.059795	1.501516	0.714215	-0.614556	-0.126233	-0.312261	-0.066439	-0.192671	-0.508255	-0.518221
Probe 18	-1.484897	-2.229012	-2.023051	-1.019832	1.401857	-6.643856	1.268971	-1.644356	-2.006443	-2.843574	-0.431851	-1.823733	-2.494773	2.368530	-0.242501	3.893298	-0.830482	-0.654420	-3.086073	-0.581338	-1.767266	-1.694180	-1.219148	2.843574	-1.587878	-1.076304	-1.637713	-2.322028	-1.418465	-2.840252	-2.046302	-2.109424	-3.674051	-1.531411	0.740790	0.225891	-1.322128	-1.667607	1.059695	0.604591	-0.332193	-1.156026	-1.807125	-1.016510	0.315584	-0.421885	-0.943427	-0.966681	-2.212404	-1.169324	3.189053	-1.787196	-1.096236	-2.106102	-1.694180	-0.558083	-1.883533	-1.464968	-1.245720	-1.820412	-2.727307	-2.205761
Probe 19	0.308939	0.498289	-0.006644	-1.793839	0.428529	-0.322227	1.338736	2.840252	0.265754	-0.647775	0.162775	-0.039863	-0.734146	1.534732	0.930140	0.275720	-1.275626	1.302198	0.478357	-0.810550	-0.109624	-0.783975	2.086173	0.348802	-2.009765	0.903565	-0.853735	-1.378595	0.116268	-0.458426	0.637811	-1.946655	-2.966484	-1.813769	1.448360	0.890276	-2.438295	-0.813873	0.717537	-0.840448	-0.036541	-1.863604	-0.179384	0.568049	0.837126	-0.896921	-0.760722	-0.308939	-1.418465	-0.704249	0.122911	-1.641034	0.674352	-0.993257	0.225891	-0.960038	-0.568049	0.166096	0.458426	-0.352125	-0.102980	0.518221
Probe 20	-0.398631	-0.308939	-0.421885	1.325450	0.059795	-1.185932	-0.046507	0.159452	1.235756	-0.019932	0.069760	-0.073082	0.448461	-0.564728	-0.239179	-0.272399	-0.614556	1.840352	-0.727503	-1.302198	0.827160	0.292329	-2.026373	-0.976647	0.232535	0.657741	1.441717	-0.388665	0.508255	0.754078	1.352022	-2.727307	-1.720764	-1.295555	0.717537	-0.594625	-1.418465	-0.584660	-0.172741	0.312261	-1.421787	-1.491541	-1.179288	-1.129453	0.461748	0.421885	-0.793941	0.372056	-1.564627	-2.099459	0.102980	-0.714215	-0.667707	-0.372056	1.667607	-1.255685	-0.913530	-1.009866	0.694283	1.205861	-1.166002	-0.202637
Probe 21	-0.837126	0.979968	0.684317	-1.930036	1.358666	-5.710399	1.993157	-2.886755	-0.033219	-1.591199	0.279042	-3.268783	-0.880310	2.116067	-1.029798	1.757301	-2.574492	1.395214	-3.810247	-1.295555	-2.916649	-2.963163	-3.182410	-0.498289	2.863504	0.205960	1.650999	-0.269076	-0.611235	0.229213	-1.634391	0.255788	-6.643856	-4.016208	-0.026575	0.601269	2.816990	-3.424909	1.072983	0.850414	-3.966384	-2.551240	-4.009565	0.847091	-0.322227	0.697605	-0.322227	-0.767365	-3.438195	-2.986414	0.647775	0.548119	-2.680794	-3.165802	-0.501611	-1.641034	-1.903463	-2.252264	-1.787196	-0.461748	-2.916649	-0.249145
Probe 22	-0.229213	-0.252467	-0.146165	-0.415240	-0.388665	0.664386	-0.083048	-1.518124	0.252467	0.102980	-0.587981	0.249145	-0.073082	-0.328871	0.647775	-0.568049	-0.132877	-0.581338	0.425206	-0.335514	0.817195	0.940106	1.046407	-0.913530	-0.524864	0.176062	-0.255788	-0.518221	0.202637	-0.043185	-0.661064	-0.099658	1.345379	0.239179	-0.976647	0.199316	-1.122810	0.976647	0.033219	-0.411919	0.770688	0.943427	0.431851	0.056473	0.375378	0.139521	0.156131	0.036541	-0.272399	1.059695	0.667707	0.455104	0.488323	-1.142740	-0.282363	-0.700927	-0.289008	-0.119590	-0.023253	-0.202637	0.647775	0.455104
Probe 23	0.896921	-0.671030	-0.684317	-0.720858	-0.906886	3.870047	-1.053051	-0.903565	-0.391987	2.258907	-0.571372	-0.830482	-1.189253	-1.006544	-0.684317	-0.757399	2.019730	-0.966681	3.082751	-0.385344	-0.621200	-0.069760	0.634488	-0.056473	-0.009966	-1.063017	-0.342159	-0.229213	-0.229213	-0.986613	-0.571372	-0.272399	0.737468	-0.521543	-1.179288	-0.657741	-0.793941	0.279042	-1.046407	-0.627845	0.654420	-0.159452	0.298974	-1.185932	-0.694283	-0.458426	-0.435172	0.205960	-1.006544	1.056373	-0.783975	1.305520	0.700927	-1.089592	-0.581338	-1.099558	-0.983291	-0.946749	-0.890276	0.664386	-0.581338	0.029897
Probe 24	1.205861	0.587981	0.508255	0.162775	0.122911	0.069760	0.445138	0.631166	-0.239179	-0.186028	0.956715	0.435172	0.591303	0.983291	0.461748	0.425206	-0.431851	0.282363	0.451782	0.923496	0.249145	0.086370	-0.122911	0.587981	1.142740	0.372056	-0.578015	-0.066439	0.056473	1.146061	0.146165	0.229213	0.395310	0.604591	0.202637	-0.132877	0.269076	-0.425206	0.093014	-0.149487	-0.378700	-0.431851	0.511577	0.272399	0.355446	-0.501611	0.647775	-0.112945	-0.275720	-0.126233	0.308939	0.358768	-0.089692	0.109624	0.574694	0.378700	-0.039863	-0.099658	0.259110	0.136199	-0.475036	-0.312261
Probe 25	-0.455104	0.272399	-0.880310	0.275720	1.053051	-0.009966	0.979968	-0.438495	0.249145	-0.671030	0.036541	0.079726	-0.126233	0.222569	-0.262433	0.790618	0.152809	0.209282	-0.651098	-0.172741	-0.156131	-1.009866	-1.166002	-0.568049	-0.279042	0.664386	0.790618	0.166096	0.265754	0.272399	0.448461	-1.295555	-0.690961	-0.930140	0.601269	0.488323	-0.298974	-0.544796	-0.003322	-0.478357	-0.986613	-0.631166	-1.322128	0.680996	0.325549	0.375378	-0.063117	-0.631166	-1.813769	-1.146061	0.627845	0.279042	-0.112945	-0.435172	-0.730824	-0.401953	0.112945	-0.587981	0.129556	0.122911	-0.425206	0.551440
Probe 26	-0.873667	-0.302295	1.082949	0.129556	0.172741	3.763745	-0.312261	-1.146061	0.783975	-0.494968	-1.803804	-0.222569	0.601269	0.096336	0.647775	-0.976647	-0.421885	-1.242399	0.099658	-0.564728	0.129556	0.076404	-0.850414	-0.581338	-2.235656	-1.069661	-1.119489	-1.072983	-1.142740	-0.740790	-1.069661	-0.385344	-0.989934	2.361887	-1.979870	0.289008	-2.026373	1.541376	-0.777331	0.989934	-0.355446	0.624522	0.976647	-0.421885	0.365412	-0.800584	-0.704249	-0.876989	-1.026476	0.199316	0.687639	1.126132	1.391893	0.106302	-0.269076	-0.468392	-0.584660	0.481679	0.943427	-1.594521	-0.548119	1.156026
Probe 27	-0.790618	0.049829	0.395310	0.684317	0.019932	-1.318806	-0.548119	-1.242399	0.813873	-0.295652	-0.687639	-0.239179	1.099558	-0.760722	0.049829	-1.016510	-0.358768	0.069760	-0.179384	-1.172645	-0.186028	0.597947	-0.704249	-0.827160	-2.258907	0.023253	0.315584	-0.853735	0.431851	-0.408597	-0.338837	-1.418465	-1.139418	0.571372	-0.455104	0.169418	-0.156131	-0.259110	-0.355446	0.461748	-0.265754	0.119590	0.292329	-1.601164	0.318905	0.172741	-0.026575	2.514703	-0.179384	-0.162775	-0.501611	-0.192671	0.411919	-0.159452	0.770688	-0.544796	-1.175967	-0.438495	-0.212603	0.302295	-0.810550	0.720858
Probe 28	1.744015	-0.209282	-1.667607	-0.485002	-0.046507	-6.643856	0.053151	0.518221	-0.631166	-0.744112	-0.863701	-0.817195	0.006644	1.405179	-0.418563	-0.315584	-0.026575	-0.395310	-0.561406	-0.099658	-0.401953	-0.431851	-0.587981	4.916449	-0.697605	0.066439	-0.541474	-1.003223	-0.285686	-0.564728	0.411919	0.601269	-1.405179	-0.229213	0.910208	-0.186028	-0.066439	-0.551440	-0.245822	0.478357	-0.391987	-0.431851	-1.561305	-0.219247	1.013189	-0.757399	-0.023253	-0.328871	-0.754078	-0.378700	0.661064	-0.783975	-0.249145	-0.471714	-0.401953	-0.411919	0.847091	-0.282363	0.411919	-0.528187	-0.960038	0.418563
Probe 29	-0.494968	-0.358768	0.269076	-0.245822	-0.239179	0.687639	-0.345480	-1.099558	-0.199316	-0.292329	0.132877	-0.843770	0.584660	-0.813873	0.139521	-0.229213	-0.471714	-0.780653	1.066339	0.352125	-0.265754	0.122911	0.644454	-0.009966	-0.747433	-0.481679	-0.076404	-1.086270	0.139521	-0.235857	-0.029897	1.355344	0.677673	-0.285686	-1.156026	-0.102980	0.833804	0.558083	-0.302295	-0.199316	0.979968	0.023253	0.132877	0.162775	0.182705	-1.092915	-0.578015	-0.504934	1.903463	0.189350	-0.192671	0.083048	-0.807229	0.149487	-0.053151	-0.102980	0.564728	1.425109	-0.597947	0.279042	0.963359	-0.395310
Probe 30	-0.372056	-0.375378	-0.192671	0.149487	0.348802	1.175967	-0.767365	-1.229112	0.601269	-0.531509	-0.531509	-0.106302	0.395310	-0.581338	0.066439	-0.089692	0.252467	-0.614556	0.063117	-0.853735	0.408597	0.315584	0.295652	-1.013189	-1.265650	-0.318905	0.298974	-0.428529	-0.368734	-0.186028	-0.352125	-0.079726	-2.843574	0.186028	-0.292329	-0.166096	0.508255	0.617879	-0.089692	0.604591	0.016610	0.073082	1.092915	-0.940106	-0.455104	0.182705	-0.465070	0.046507	0.458426	0.578015	0.438495	0.093014	0.116268	0.239179	0.235857	-0.624522	-0.744112	0.428529	-0.405276	-0.265754	0.308939	0.740790
Probe 31	-0.252467	-0.156131	-0.152809	0.073082	-0.259110	-6.643856	-0.428529	-1.361987	-0.152809	0.803907	-0.903565	0.498289	-0.056473	-1.146061	-0.378700	-0.604591	-0.063117	-0.538153	1.491541	-0.783975	0.016610	1.152705	0.621200	-0.950072	-1.272293	-0.136199	0.292329	-0.342159	0.066439	-0.368734	0.079726	0.292329	1.199218	0.674352	-0.757399	-0.538153	-0.827160	1.212504	-0.093014	-0.066439	0.298974	1.800482	1.936679	-0.813873	-0.186028	0.009966	-0.222569	0.418563	-0.139521	0.312261	-0.644454	-0.176062	0.033219	0.631166	-0.265754	0.199316	-0.345480	-0.308939	-0.694283	0.073082	1.478254	-1.072983
Probe 32	-0.780653	-0.282363	-0.385344	1.239077	0.494968	0.302295	-0.079726	-0.279042	1.365309	-0.009966	-0.724180	-0.817195	0.488323	-0.421885	0.790618	-0.478357	-0.481679	0.156131	-0.106302	-1.538054	0.139521	-0.166096	1.192575	-1.544697	-0.694283	-0.338837	1.182610	-0.285686	-0.073082	0.046507	0.066439	-1.278947	-0.232535	-0.176062	-0.255788	0.365412	0.581338	-0.820516	-1.139418	0.086370	0.066439	-0.564728	-0.126233	-1.053051	-0.003322	0.724180	-1.132775	-0.475036	0.338837	-0.840448	-0.249145	-0.215925	0.209282	0.099658	0.259110	-1.312163	-0.322227	-0.803907	0.657741	0.996578	-0.807229	0.269076
Probe 33	-0.441817	-0.029897	0.382022	-0.305618	0.215925	-0.485002	0.667707	-0.485002	0.362090	-0.405276	0.106302	1.199218	0.262433	0.013288	0.156131	-0.494968	-0.724180	-0.116268	0.391987	0.186028	0.365412	0.176062	-0.305618	0.066439	-1.787196	0.282363	-0.036541	-0.538153	0.016610	0.438495	0.295652	-0.744112	-0.136199	0.840448	0.375378	0.348802	-0.740790	0.328871	0.627845	0.242501	-0.262433	-0.033219	0.335514	-0.558083	0.358768	0.033219	0.601269	-1.494862	-1.647678	0.740790	0.063117	0.139521	0.172741	-0.604591	0.415240	0.262433	0.146165	0.102980	-0.036541	-0.661064	-0.199316	0.568049
Probe 34	-0.415240	0.096336	-0.641132	0.109624	0.607913	-1.508160	0.152809	-0.837126	0.996578	-0.375378	0.096336	-0.461748	0.205960	-0.265754	-0.322227	-0.352125	-0.544796	-0.435172	-0.647775	-0.973325	-0.385344	-0.348802	-0.621200	-0.511577	-0.750756	0.332193	2.066243	1.983192	-0.358768	-0.667707	-0.259110	0.119590	-0.189350	0.016610	-0.212603	0.162775	-1.019832	-0.647775	0.438495	-0.601269	-0.106302	-0.707571	-1.049730	0.009966	1.092915	-0.089692	0.275720	0.232535	-1.584556	-0.754078	-0.089692	-0.671030	-0.252467	-0.641132	-0.521543	0.587981	-0.538153	0.225891	-0.352125	1.664286	-0.760722	-0.119590
Probe 35	-1.282269	0.076404	-0.494968	0.132877	1.016510	-0.202637	0.116268	-1.275626	0.847091	0.106302	-0.574694	-0.146165	-0.365412	0.059795	0.295652	-0.391987	-0.219247	0.232535	0.069760	-1.617783	-0.139521	0.325549	0.448461	-1.003223	-0.508255	0.358768	0.534830	-0.654420	-0.382022	-0.382022	0.136199	-1.259007	0.388665	-0.156131	0.036541	0.581338	0.056473	-0.219247	-0.647775	0.099658	1.036442	-0.431851	-0.282363	-0.023253	0.259110	0.511577	-0.734146	0.355446	0.159452	-0.448461	-0.036541	-0.332193	0.458426	-0.279042	-0.122911	-1.245720	0.205960	-0.076404	0.528187	0.009966	0.398631	0.199316
Probe 36	0.425206	0.328871	0.156131	1.016510	-0.405276	-0.229213	0.215925	0.269076	0.475036	-0.780653	0.315584	0.202637	0.534830	-0.867023	-0.847091	-0.870346	0.205960	1.747337	0.471714	0.774009	1.843674	-0.943427	0.159452	0.053151	-0.099658	0.508255	-0.641132	-0.129556	0.249145	1.099558	0.375378	1.189253	0.209282	-0.591303	0.109624	-0.355446	-0.355446	0.601269	-0.451782	-0.594625	-0.973325	1.707466	0.395310	1.029798	-0.325549	-0.109624	-0.481679	-0.757399	-0.202637	-0.498289	0.073082	-0.843770	-0.212603	-0.989934	-0.172741	2.033016	-0.581338	-0.587981	1.229112	-0.269076	-0.106302	-1.455003
